岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
AI豆包 人工智能回复 新风口！！！,上海智慧灵动,12-15K,上海,高中,经验不限,100-499人,互联网金融,五险一金|补充医疗保险|年终奖|节日福利|交通补助|有无线网|通讯补贴|绩效奖金|工龄奖|全勤奖|团建聚餐|零食下午茶|员工旅游|生日福利|企业年金|带薪年假|保底工资,"岗位职责： 1。AI推送客户信息，审核公司后台客户的申请资料信息，整理审核信息； 2。处理来自客户数据，分析客户资质情况，审核是否符合办理业务条件； 3。处理时效数据，解答客户出现问题，根据资质审核通过的客户，及时安排客户至公司办理手续；全程坐班，不需要外出，入职即计算薪资。 4。带薪培训，新人由主管⼀对⼀培养 薪资待遇： ⽆责底薪＋提成＋奖金，综合12000-20000,上不封顶，缴纳上海五险一⾦，面试通过即可安排住宿 任职要求： 1，会简单的电脑操作，会说普通话 2，工作勤奋，耐心，积极主动，乐观向上 3，团队合作意识强，有强烈的事业心和生活目标。 4，接受全职实习生可提供实习证明，接受职业小白及应届毕业生。"
职业培训学校人工智能助教/实习讲师,森翎培训,300-600元/天,上海,大专,,20-99人,培训/辅导机构,五险一金|补充医疗保险|定期体检,1，通过线下课和直播的形式介绍python/人工智能等课程，来自有AIgc运用经来自验，会编写课来自件，有授课经验接受小白或者实习生。 2，内部助教老师，赋能团队内部。 3，协助配合课程顾问老师以及运营老师前端转化。 4，能及时适应市场变化以及学员的需求，尽快协助调整课程内容和方向。 【任职要求] 1，熟练掌握计算机，对计算机能优化和底层原理有一定经验。 2，深入钻研以下一个或多个方向:爬虫、数据分析、人工智能，机器学习， 3，良好的沟通能力和直播表达能力，有较为优秀的文案能力者优先。
人工智能 上市公司 大客户销售 高提成,珍岛集团,15-30K,上海,本科,1-3年,1000-9999人,互联网,通讯补贴|全勤奖|团建聚餐|底薪加提成|带薪年假|保底工资|股票期权|节日福利|五险一金|员工旅游|零食下午茶|绩效奖金,2026年 如果你也想从事AI 未来有发展的行来自业，来自欢迎 加入 我们！ 工作/公司项目简介：中国最⼤AI SAAS公司，主营 产品，帮助 企业 做营销的 软件： ⾹港 上市公司 珍岛【02556】上海民营企业百强【2021-2025】 中国最⼤的AI-SAAS智能营销销售服务公司迈富时集团； 工作职责：在30+分公司外区域，每个地级城市寻找3-5合作商，非出差，培养具体且完善，⼯作单笔项目收入高，发展空间潜力巨大； 直属领导为该行业专家，工作模式新颖（数字媒体、大数据、智能营销）等多元方向 上市公司；独栋办公大楼； （健身房、食堂、公园、美甲、美发设备齐全）入职即缴纳五险一金； 【岗位要求】 1、本科学历以上；硕士学历（含海外硕士）；能力特别优异者，适当放宽学历至专科； 专科学历（两年以上电话销售经验，态度认真，择优考虑，待遇相同）；尊重、渴望优秀的你！ 2、有无渠道招商经验皆可（我们有珍岛学园，完善的培训体系助你成长）； 3、学习能力强，空杯心态，乐于并善于表达，有责任心； 4、性格外向，有亲和力， 喜欢销售，喜欢高薪挑战岗位； 【岗位职责】 1、通过多种方式寻找有效客户并开发（saas软件招商）全国大客户； 开发模式：电销+面销+直播（提供部分客户资源+数据公海+信息客户）拥有完善IP账号引流，电销精准资源线索；（开单后即陆续分配，不同等级线索资源） 2、工作无需出差，无需外出进行客户拜访，客户到上海总部，有专门人员洽谈； 3、定期与合作客户沟通交流，建立良好的长期合作关系； 4、进行每月定期两个月会销活动的邀约，进行自媒体的传播； 5、会有入职后每日工作量化考核：具体分为开发客户个数，微信跟进沟通个数，直播邀约及过程准备数据等内容； 【岗位待遇】&【薪酬部分】 薪资组成：底薪+全勤+提成+排名奖金； 培养期7000无责底薪+ (10%-20%)+满勤奖金 ++月度排名奖金；综合薪酬收入年总基准线：30W； 【岗位提供】 提供：工作手机设备+电脑设备 入职就缴纳五险一金，所有员工福利具备齐全
AI豆包 人工智能回复 新风口！！！,上海合钇融,13-14K,上海,高中,经验不限,500-999人,互联网金融,,我们公司客户资源数据来源短视频获客 客户都是从抖⾳、快⼿、⼩说软件、各大平台主动咨询过来的、公司有投放广告 电话审核联系客户、资源精准、质量⾼。 主要负责电话联系 对接客户、办理业务、促成成交。
AI 软件开发,华为技术有限公司,200-270元/天,上海,本科,,10000人以上,计算机软件,团建聚餐|生日福利|节日福利|员工旅游|年终奖|法定节假日三薪|补充医疗保险|带薪年假|交通补助|零食下午茶|夜班补助|加班补助|保底工资|五险一金|离职补偿|股票期权|定期体检|免费班车|绩效奖金|节假日加班费,服务与软件研发管理部27届实习生招聘 岗位职责 1、负责AI领域的软件工程化和产品开发； 2、负责AI算法及系统的设计和实现，包括但不限于：神经网络与机器学习、计算机视觉、无⼈驾驶、路径规划、智能决策、推荐系统、⼤模型、⽣成式AI等； 3、负责产品的集成和调测，以及各类工具链的开发； 4、负责对外洞察AI领域最新趋势，包括但不限于：大模型、⽣成式AI、AI for coding等。 岗位要求 1、计算机或人工智能相关专业，具备一个及以上大型实际软件项目经验，独立承担过关键子模块的开发工作； 2、熟练运用至少一门编程语言（C++ /Java /Python/Rust等）； 3、熟悉Tensorflow/scikit-learn/xgboost/Caffe/MindSpore/pytorch等主流深度学习框架的使用，具备AI算法开发及应用经验者优先； 4、深入理解计算机系统架构与操作系统，熟练掌握异构计算平台原理和典型硬件加速器的使用方法，熟练运用并发编程和底层调试，熟悉Linux/ROS； 5、熟悉深度神经网络、计算机视觉、机器人导航定位、运动规划、机器学习算法和知识图谱等的至少一种，能够针对算法特点与芯片硬件特点设计最佳算法实现方式并优化部署或者有数据分析、挖掘、建模等方面的背景； 6、了解编程规范/惯用法/设计模式，掌握OOD/业界常用框架优先。
人工智能训练师,将才云集,200-250元/天,上海,大专,,20-99人,电子商务,,企业介绍：公司是一家致力于以 AI+机器人的融合boss创新，打造世界领先的，具身智能机器⼈产品及应⽤⽣态的创新企业。 招聘岗位：人形机器人数据⾤集 岗位职责： 1.严格按照主管工程师的指导进行测试工作，每日抓取规定数量的测试数据； 2.对测试中发现的问题进行汇总报告给主管工程师； 3.对测试中涉及的新产品进行严格保密。 任职要求： 1、大专及以上学历 计算机应用、大数据、机器人相关专业优先； 2、实习期6个月以上，实习+就业优先； 3、能适应公司作息，每天10小时，做六休一，长白班 岗位福利： 1、每月评选3名优秀员工，额外奖金 300 元-800 元不等； 2、实习满6个月奖励一次性奖金 800 元/人，于第7个月发放(发放时 需在职); 3、提供免费宿舍(6 人间)，水电均摊； 4、实习期6个月以上，实习+就业优先 薪资福利： 入职-毕业前（实习期）21元/小时 实习期待遇5000-6000/月，毕业转正后综合薪资 8000+。 餐补2元 /小时 工作地点：上海浦东新区周邓公路5358号（智元张江数采中心）
AI人工智能销售-央视亲证，月入2W+,探迹,15-20K,上海,大专,1年以内,1000-9999人,互联网,五险一金|加班补助|零食下午茶|股票期权|通讯补贴|年终奖|节日福利|定期团建|定期体检|员工旅游|全勤奖|补充医疗保险|餐补|带薪年假,AI赛道+来自前景广+社会主流趋势：探迹(TUNGEE)是国内唯一一家自主研发的，拥有全流程智能AI销售SaaS产品矩阵的独角兽企业 【公司现状】全球独角兽，也是业内领先的SaaS服务专业平台，2022年⼊围全国前⼆⼗强的独角兽公司，目前公司市值百亿互联网⼤厂，还获得阿里、红杉资本、启明创投等资本巨头的投资行业赛道广阔。 【产品软件】探迹(探迹拓客，探迹触达外呼，探迹CRM系统) 【客户群体】全行业覆盖，有销售团队的B端企业用户 【产品作用】帮助企业精准拓客，管理客户，全面提升销售效率。 【客单价】2-10 W不等 【成单周期】80%都是7天内，慢的一两周。 一、岗位职责 ①对公司提供的精准客户资源进行电话/网络/面谈等形式进行沟通，收集客户意见，并做相关项目产品推荐。 ②公司提供精准客源和平台！ ③与大型企业建立深度合作关系，解决产品在售卖过程中的问题，提高客户满意度。帮助自己拓宽高端资源人脉！ 二、任职资格（希望您性格开朗，最好有些“社牛”属性，沟通表达佳） 1、大专及以上学历，有一定的销售经验优先考虑，可转岗、可跨行、无经验，提供培训+一对一带教出单: 2、对销售工作有较高的热情，具备良好的销售意识和沟通表达、人际关系处理和谈判能力: 3、热爱销售工作，乐于挑战，善于学习，执行力强，结果导向，有上进心，抗压性强: 4、能适应B端销售的工作节奏，有自驱力，喜欢挑战高薪。 三、福利待遇(超同行水平!!) 1、无责底薪+高提成(10-20%)+激励奖金 (2-4k)+餐补，平均综合月收入12K-20K，当月 发当月底薪! 中部销售月收入大概在1万2万之间，中上在2万到5万 之间。 头部基本在5万以上，高提成，最高一个月收入23万，而 且可以持续出单! 2、入职有完善系统的带薪培训，一对一专业带教，手把手教你快速上岗! 3、入职即购买五险一金 4、每天免费下午茶+水果零食，生日会、节日礼物礼金，季度/年度性免费体检、国内外旅游: 5、同事均为95、00后，工作氛围轻松愉快，一起努力工作快乐成长 6、行业内头部企业，快速发展期，晋升空间大，每年2次晋升机会，4次调薪 7、管理层和同事大多是阿里、百度、字节、IBM等互联网管理骨干及销售精英，有实力、用心培养团队! 8、带薪休假:享受国家规定的法定带薪假期外，我们还为同学们们增添了特色假期:有旅行休假、生理期假、带薪年假(递增式5天-15天)、婚假、产假、二胎产假、哺乳假、生育假、护理假、带薪病假、工伤假、公假等。 9、上午9:00-12:00，下午13:30-18:30，销售岗位一般都会有一定的加班情况，周末双休 四、晋升空间 1、晋升频率:每年2次晋升机会，2次调薪机会，业绩优秀者最快5-8个月晋升主管岗 2、专业路线:初级销售--中级销售--高级销售!资深销售--产品专家 3、管理路线:销售专员--储备主管--销售主管-销售经理--区域负责人 五、公司简介 探迹科技是智能销售 AI 服务提供商，致力于用大数据和AI技术提供全流程智能销售SaaS服务，解决企业在寻找、联系、管理客户时遇到的难题，帮助企业降本增效，全面提升销售效率和业绩。公司规模2000人左右，总部在广州，在北京、上海、杭州等全国有26+城市。成立来已获得5轮融资，获得红杉资本、阿里巴巴、启明创投、纪源资本等国内外顶级资方的青睐。作为智能销售AI开创者，探迹科技还成功入选“全球独角兽企业”，是国内“智能营销”系列标准的制定者。 2021云计算百强企业 2022年度SaaS百强企业: 2023年度前二十强独角兽企业: 探迹智能销售云平台集大数据、人工智能双优势，是目前国内集成度最高、拓客精度最高的智能销售AI产品目前已服务全国超 4W+企业客户，其中就包括阿里巴巴、中国移动、字节跳动、滴滴、分众传媒、中软国际、招商银行、广州银行、浪潮、金蝶云、领英、网易、时代中国、越秀地产、碧桂园等头部企业。行业赛道广阔。 六、企业文化 探迹愿景:打造全球商业连接方式 探迹使命:让天下没有难做的销售 探迹价值观:成就客户、创新进取、正直诚信、团队合作、激情奋斗 探迹官站:www
Ai人工智能数据运营专员，,上海爱克丝互联网科技,4-9K·14薪,上海,大专,经验不限,0-20人,互联网,,对人工智能AI大数据有兴趣看好的相关专业人员，爱学boss习，上boss进，对未来有职业需求的相关从业人员，
人工智能,上海潜观人工智能科技,100-200元/天,上海,大专,,0-20人,人工智能,,岗位职责: 1. 机boss械臂运动算法 任职boss要求: 1. 学习能⼒来自强，能快速掌握标注规范及任务要求； 2. 细致认真，具备较强责任⼼，能独⽴完成高质量数据处理； 3. 沟通能力良好，可与团队⾼效配合完成项目任务； 4. 对人工智能、机器学习领域有基本了解或兴趣者优先。
【人工智能ai资源】月薪8k+稳定好做！！,上海咏玮实业有限公司,25-50K,上海,本科,1-3年,100-499人,批发/零售,带薪年假|五险一金|零食下午茶|通讯补贴|意外险|员工旅游|保底工资|节日福利|底薪加提成|补充医疗保险|年终奖|绩效奖金|全勤奖|有无线网|工龄奖|团建聚餐|生日福利,同事颜值高氛围好，老板超nice~ 还在风吹日boss晒跑业务、发来自传单吗？ 5A级写字楼办公，体面⼜舒服！ 【薪资结构】 底薪12000+60%统提+10%年终奖+⽉度奖⾦3000-20000 新人平均月薪2+ 打酱油：20000+ 认真⼲：50000+ 销冠：500000+ 【福利待遇】 五险+下午茶+生日礼+年终奖+开单红包+节日福利+团建+月度宴会+免费旅游+住房补贴 【晋升】 透明晋升，无空降：销售—主管—区长—经理 【岗位职责】 1. 公司提供精准客源，开发客户 2. 分析客户需求，匹配合适方案 3. 邀约谈判签约，跟进后续服务 4. 维护老客户，持续复购 【任职要求】 1. 无学历要求，小白可学，主管一对一带教 2. 口齿清晰，善于沟通 3. 想稳定赚钱，能吃苦抗压 【平台优势】 办公室自动化办公，不用外出跑单 自有广告渠道，客户资源优质 0渠道成本，开单率高 想轻松赚钱、体面上班的直接来聊
