岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
试用16000～人工智能Ai资源/审核,北京烽信信息咨询,16-30K,北京,大专,经验不限,20-99人,其他金融业,员工旅游|保底工资|团建聚餐|年终奖|零食下午茶|带薪年假|工龄奖|五险一金|法定节假日三薪|全勤奖|节日福利|绩效奖金|有无线网|底薪加提成|生日福利,1、来自薪资16K--30K: 2、工作时问：9:00-19:00午boss休2个小时，到点下班不来自加班! 3、缴纳社保，超长年假，法定节假日正常休息! 4、享受超长春节假期，各种节假日福利!! 5、定期组织旅游，员⼯聚餐活动 6、每周下午茶，零⾷柜⼀直供应!! 7、公司直招，不是中介哦~ 岗位职责： 1、工作内容轻松，容易上手； 2、根据公司提供的客户沟通，收集客户资料 3、⽆需外出，办公室坐班，无业绩要求，无绩效考核； 岗位要求： 1、学历不限，经验不限，可接受应届生和小白； 2、年龄22-40周岁，经验不限； 3、口齿清晰，思维灵活，工作严负责
AI豆包 人工智能拓客引流,巽收科技,15-30K,北京,初中及以下,经验不限,20-99人,互联网金融,带薪年假|绩效奖金|团建聚餐|保底工资|年终奖|底薪加提成|工龄奖|生日福利|五险一金|全勤奖|通讯补贴,无责7000！！！ boss公司直招 接受无经验小白 薪资福利:⽆责底薪+提成+奖⾦，⾸月正常上班拿到手1左右不是问题。 作息时间:8:30-6:00 1、新⼈带薪培训！ 2、缴纳五险，带薪年假，产假，婚假，丧假等 3、每月惊喜福利，开年红包 4、晋升渠道完善 任职要求:男女不限，普通话标准，会简单的打字就可以！！！
人工智能销售,北京于征快跑人工...,10-15K,北京,本科,经验不限,0-20人,人工智能,团建聚餐|底薪加提成|免费工装|五险一金|生日福利|全勤奖|保底工资|绩效奖金|有无线网,岗位职责: 1.负则公司的app产品的市场推广活动 2.通过地面推广活动，增强产品在市场上的知名度和用户基础 3.与潜在⽤户建⽴联系，推⼴产品功能和优势 任职要求： 1.具备出色的沟通技巧，能够有效地与用户互动 2.能够独⽴开展推广活动，具备一定的市场分析能力 3.具有团队合作精神，能够与团队成员协作完成推广目标 薪资待遇: 1，底薪+提成。提成按照阶梯来提，提点范围5%-15%。 2，公司有五险一金 3，公司周末双休，按照国家法定节日休假 4，上班时间早10晚6
人工智能机器人动作数据训练师,上海今元人才科技,5-6K,北京,大专,经验不限,1000-9999人,人力资源服务,,岗位名称：数据采集员 一、工作boss地点：北京市海淀区百旺弘祥文化科技创意产业园（预计6⽉底搬迁⾄鸟巢奥体中⼼附近的北辰时代大厦，需能接受通勤变化） ⼆、薪资待遇： 1、基本工资：200元/人/天（有效工时8小时） 2、夜班补贴：50元/天 三、工作时间： 1、正常班：9:30-19:00（中午休息1小时） 2、白夜班轮班：7:00-16:00 / 16:00-01:00（中间休息1小时） 3、上六休一 四、岗位职责： 1、穿戴数据采集设备，按照要求完成指定动作任务 2、为酒店场景人形机器人研发提供动作数据支持 3、按照固定流程进行重复性数据采集操作 4、确保采集数据的准确性和有效性 五、任职要求： 1、大专及以上学历 2、******* 3、接受无经验，动作灵活、身体协调性达标、无色盲色弱 4、熟练掌握电脑基础操作 5、有耐心，抗枯燥能力强，能适应重复性固定流程操作
环境低碳人工智能应用,绿巢智慧数据,7-11K,北京,本科,在校/应届,20-99人,咨询,五险一金|带薪年假|零食下午茶|年终奖|股票期权,1. 环boss境类硕士毕业（如有计算机或数据背景优选） 2. 热爱人工智能方向，并有boss一定的使用经验 3..有基础的软件，算法应用经历（不需要编程） 4. 有完整的科研或实践项目参与经历 5. 发表过科研论文，sci，核心，会议 6. 对人工智能的发展和现状有认知和评判 7. 对人工智能的深度应用，如AI Agent ，RPA有了解 8. 文笔流畅，能写报告和完成项目的部分执行 9. 会看教育背景，但更看重努力和自己的职业诉求 10. 自驱发展，快速学习，团队协同，与人为善 11. 非环境专业的就不要投了，这个不是IT岗 12. 不接受园林，建筑，运输等其他专业的毕业生 【建议先看一下公司介绍再联系】
AI人工智能讲师（base银川）,宁夏深维智能科技,12-20K,北京,本科,经验不限,0-20人,人工智能,股票期权|绩效奖金|保底工资|五险一金|带薪年假|底薪加提成,教学目标：引导0基础学员，通过掌握主流来自数据工具，理解数据质量对AI应用成功的决策性作用。 【⼯作内容】 1、教学与实战：负责既定课程⼤纲的授课，注重数据⼯具实操，并指导学员产业完成等级数据项目。 2、应用连接：教学中需要明确的数据处理如何服务于⼈工智能模型的应用落地，并指导理解数据与人工智能模型的关联。 3、 内容优化：收集反馈，优化工具实战案例和教学内容，确保紧跟行业动态。 【任职要求】 1、 实战经验：具备3年以上数据分析、数据运营或相关岗位的产业实战经验； 2、具备人工智能相关领域教学或培训经验者优先； 3、熟悉主流数据采集/标注/清洗/分析工具的使用； 4、有四大行业之一（金融、农业、医疗、制造业）AI应用产业经验优先
人工智能AI算法类岗位,成熙知识,250-300元/天,北京,本科,,500-999人,互联网,补充医疗保险|零食下午茶|定期体检|交通补助|五险一金|年终奖,自动驾驶方向类 机器人方来自向 AI⼤模型等等 岗位职责: 1. 负责⼈⼯智能算法的设计与优化，提升模型性能与稳定性 2. 参与AI技术在实际业务场景中的落地与迭代 任职要求： 1. 具备扎实的算法基础，熟悉主流AI框架与技术栈 2. 具有良好的问题分析与解决能力，能独立开展技术攻关 3. 对⼈工智能领域有持续关注，具备较强的技术钻研精神
人工智能&芯片销售+双休+接受小白,诚品伟业,9-14K,北京,本科,经验不限,20-99人,计算机硬件,团建聚餐|五险一金|零食下午茶|股票期权|员工旅游|高温补贴|底薪加提成|带薪年假|绩效奖金|通讯补贴|保底工资|生日福利|定期体检|节日福利,岗位职责: 公司提供现成大厂、政企boss资源，不用电销，日常维护客情关系，跟进AI服务器、AI芯⽚需求。 上班时间： 朝九晚六，周末双休，国家节假⽇正常休。 任职要求： 1、具备良好的沟通技巧 2、能够独⽴处理销售事务，具备较强的市场分析能力 3、积极主动，对销售工作充满热情 4、较好的英语听说读写能⼒ 福利 1、 带薪年假、婚假、全薪病假； 2、 年度免费体检、国内外免费旅游团建； 3、 节假日礼品、结婚礼金、办公室零食下午茶； 4、 不用电销、不用盲打陌生客户，公司直给大厂资源 5、 对接高端政企/互联网客户，客单价高、提成可观 6、 长期维护客户，越做越轻松，资源越积越多 7、 同事来自北京深圳香港，可以接触多元文化，拥有国际化视野和平台
Java（ai经验）,微创软件,15-20K,北京,本科,5-10年,10000人以上,计算机软件,五险一金|补充医疗保险|定期体检|年终奖|节日福利|免费班车|员工旅游|带薪年假|零食下午茶,职责： 1. 负责Joyinside智能体平台、语音平台的需求分析、设计和实现 2. 负责Joyinside平台的项目落地和交付 岗位要求： 1. 计算机及相关专业本科及以上学历，具有丰富的语音对话系统开发经验; 2. 熟练掌握Java语言编程，对⾯向对象思想有深⼊了解，具备扎实的数据结构及算法功底; 3. 熟悉SpringCloud、Dubbo、KafKa等分布式框架; 4. 熟悉主流关系型数据库，ElasticSearch 并具有相关项⽬经验，对数据库性能优化有一定了解； 5. 良好的沟通和团队协作能力，突出的学习能⼒和解决问题的能力; 6. 有python/C++开发经验更好；
人工智能讲师,北京市力法尔职业...,100-300元/时,北京,本科,1-3年,20-99人,人工智能,,工作周期：长期兼职 每周工期：无要求 工作时间：不限 ⼯作时段：不限 结算⽅式：完⼯结 招聘截止时间：2026-10-31 岗位职责： 负责人⼯智能训练师课程的录制工作 任职要求： 学历要求 本科及以上学历，计算机、人工智能、数据科学等相关专业优先 证书要求 必备：人工智能训练师职业技能等级证书（三级/高级工及以上） 优先：持有教师资格证或相关培训资质证书 工作经验要求 五级课程讲师：2 年以上 AI 数据标注/训练相关工作经验 四级课程讲师：3 年以上 AI 数据标注/训练相关工作经验，或有团队管理经验者优先 三级课程讲师：4年以上AI数据标注/相关工作经验 企业实战项目经验优先于纯教学经验 技能要求 技术技能： 熟悉数据采集、标注、质检全流程 了解主流标注工具（如 LabelImg、CVAT、自研平台等） 了解机器学习基础概念与模型训练流程 教学能力： 具备清晰的逻辑表达与知识传递能力 能够将复杂概念简化为易懂内容 有耐心，善于与成人学员沟通
