岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
AI Agent 高级开发工程师（AI算法）,恩斯迈电子（深圳）有限公司,1-2万,深圳·宝安·石岩,1-3年,本科,外商独资,1000-9999人,计算机硬件,,职位描述 职责描述：1.围绕制造场景，负责AI Agent的相关应用开发和快速迭代;2.跟踪AI Agent的前沿技术，探索其在制造场景下相关应用的落地。任职要求：1. 本科及以上学历，计算机科学、软件工程、人工智能、应用数学等相关专业优先考虑，一年以上AI Agent 开发经验；2. 熟练掌握Python/Shell等编程语言，掌握Linux操作系统下Git、Docker等常用开发工具；3. 熟悉Prompt Engineering、RAG、LLM微调（SFT/LoRA）等相关LLM技术，4.熟悉机器学习算法；5. 熟悉ReAct、Plan-and-Solve、Multi-Agent、Tool-Use、Skills、Memory机制等相关AI Agent技术；6. 熟悉主流开源基座模型（如Qwen，Llama等）以及AI Agent开发框架，如 LangChain、LangGraph、CrewAI、AutoGen 等；7. 积极主动，责任心强，学习能力好，对AI技术有强烈的热情和好奇心，具备良好的团队能力与承压能力。福利待遇：1.五险一金：为员工购买社会保险（养老、医疗、生育、失业、工伤）及住房公积金；2.带薪假期：依法律规定享有国家法定节假日、年休假、婚假、产假、陪产假、丧假等；3.食宿配备： 免费提供住宿（扣水电费），配备空调、热水、衣柜及独立卫生间，配备福利性员工餐厅，菜品多样，环境优美;4.健康关怀：关注每一位员工健康，设有健康关爱室、心理咨询室；5.文娱活动：公司不定期举办园游会，社团活动，品质及工程技术活动；6.休闲场所：24小时营业超市、图书室、健身房、舞蹈室、篮球场、乒乓球、台球娱乐室等；7.节日慰问：劳动节、中秋节等节日发放礼品；8.年终奖金：设有年终奖金；尾牙抽奖活动：具有丰厚的奖金及礼品；9.培训发展：关注员工发展，为员工提供系统的培训，不断提升员工综合素质和能力；10.职业生涯：完善的横向调岗及纵向晋升通道，完善的核心人才培养体系，为您提供职业发展的双赢平台。
Data Analyst and Developer,科锐尔人力资源服务(苏州)有限公司,2.5-3万,深圳·南山·粤海,3-5年,本科,上市公司,500-999人,咨询服务,,"职位描述 SummaryWe are looking for a passionate Data Analyst and Developer specialized in bothinterpreting data to generate insights and building the technical solutionsthat support data processing, automation, reporting and maintain applications.This hybrid role combines analytical work (like dashboards and KPIs) withdevelopment tasks (like databases, ETL scripts, automation tools, AI-enabledsolution and applications). As this position just created in the digital supplychain transformation area, you will get the opportunity to work with talentpeople and contribute to company's accelerated supply chain digitalization &AI intelligence project through various breakthroughs.What you’ll be doing:• Collect, clean, validate, and integrate data from internal and externalsources, ensuring data quality and consistency.• Design, develop, and maintain databases, data models, and ETL/ELT processes tomove and transform data between systems.• Analyze complex data sets to identify trends, patterns, and actionable insightsthat support strategic and operational decisions.• Build and maintain reports, dashboards, and interactive visualizations usingtools such as Power BI, Tableau, or similar platforms.• Develop scripts, applications, and APIs (for example in Python, R, orJavaScript) to automate data workflows, reporting, and integration with other systems.• Design, develop, and implement software solutions that enable our organizationto leverage digital technologies.• Stay up-to-date with emerging trends and technologies in digitaltransformation.What we need to see:• Bachelor's or Master's degree in Computer Science or Information Technology,Data analytics, Digital Transformation or related fields.• 3+ years experience in Data Analyst, or Data Scientist, or softwaredevelopment.• Solid Python/Java/Scala, SQL, big data/cloud technologies, ETL tools, and data manipulation skills• Proficiency with data visualization tools (e.g., Power BI, Tableau).• Knowledge of software engineering practices, frameworks, and tools.• Experience with ML frameworks and data pipelines.• Ability to problem-solve and influence others through relationships and data.• Strong written and verbal communication skills including good English command with the ability to present to management required.Ways to stand out from the crowd: • Passion to success and perfection.• Self-starter who can take the lead in working with cross-functional teams torecognize the problem and solutions with data analysis and visualizations.• Knowledgeable about the latest data analytics tools, machine learning,artificial intelligence and how NVIDIA platforms are being used for datavisualization. • Experience with EMS industry supply chain processes is a strong plus.我们正在寻找一名充满激情的数据分析师和开发人员，他们擅长解释数据以产生见解，并构建支持数据处理、自动化、报告和维护应用程序的技术解决方案。这个混合角色将分析工作（如仪表板和kpi）与开发任务（如数据库、ETL脚本、自动化工具、支持ai的解决方案和应用程序）结合起来。作为数字供应链转型领域的新职位，您将有机会与人才一起工作，并通过各种突破为公司的加速供应链数字化和人工智能项目做出贡献。你将做什么：•收集、清理、验证和整合内外部数据，确保数据质量和一致性。•设计、开发和维护数据库、数据模型和ETL/ELT流程，以在系统之间移动和转换数据。•分析复杂的数据集，以确定趋势、模式和可操作的见解，以支持战略和运营决策。•使用Power BI、Tableau或类似平台等工具构建和维护报告、仪表板和交互式可视化。•开发脚本、应用程序和api（例如Python、R或JavaScript）来自动化数据工作流、报告和与其他系统的集成。•设计、开发和实施软件解决方案，使我们的组织能够利用数字技术。•紧跟数字化转型的最新趋势和技术。我们需要看到：计算机科学或信息技术，数据分析，数字化转型或相关领域的学士或硕士学位。3年以上数据分析师或数据科学家或软件开发经验。•扎实的Python/Java/Scala、SQL、大数据/云技术、ETL工具和数据操作技能熟练使用数据可视化工具（如Power BI， Tableau）。了解软件工程实践、框架和工具。•具有机器学习框架和数据管道的经验。•通过关系和数据解决问题并影响他人的能力。较强的书面和口头沟通能力，包括良好的英语表达能力和向管理层汇报的能力。从人群中脱颖而出的方法：•追求成功和完美的激情。•积极主动，能够与跨职能团队合作，通过数据分析和可视化识别问题和解决方案。•了解最新的数据分析工具、机器学习、人工智能以及如何使用NVIDIA平台进行数据可视化。具有EMS行业供应链流程经验者优先考虑。"
web3交易所BD,深链数合(深圳)计算科技研发有限公司,2-3.5万,深圳·南山·粤海,3-5年,本科,100-299人,软件/IT服务,,,职位描述 岗位职责1、负责平台客户开发与销售，拓展机构、高净值、专业交易者、项目方、基金等各类客户资源；2、推广公司合规牌照下现货、OTC、理财、Staking、金银RWA、VIP等全系产品；3、独立完成客户开发、需求对接、方案定制、谈判签约，协助KYC/AML审核及客户后续维护全流程工作；4、维护存量大客户，提升客户入金量、交易量与复购率，完成个人及团队销售指标；5、参与行业会议、路演及社群活动，积累行业人脉，塑造公司品牌影响力；6、严格遵守香港及国际合规、反洗钱、KYC及客户隐私保护规则，坚守业务合规底线。任职要求1、本科及以上学历，金融、经济、区块链相关专业优先，优秀从业者可放宽学历和专业；2、近3-5年交易所/区块链行业销售经验；3、熟悉区块链生态，了解交易所、钱包、链上结算、OTC、资金池、RWA等相关业务；4、英语口语流利，可作为工作语言，独立对接海外客户；5、具备优秀的商务谈判和资源整合能力，擅长新客开拓、大客户攻坚；6、具备极强合规意识，坚守职业底线，不诱导客户，不承诺收益；7、逻辑清晰，专业表达能力强，自驱力强、抗压性高，适配快节奏工作，可接受阶段性出差；8、学习能力优秀，可快速跟进行业行情、新规及各类新型产品。加分项1、拥有从0到1搭建销售渠道，具备小团队管理经验；2、拥有优质海外机构及高净值圈层资源。
Agent开发工程师（驻场佛山）,北京可利邦信息技术股份有限公司,2-3.5万,深圳·福田·福田街道,1-3年,本科,民营,100-299人,产业互联网平台,,"职位描述 本岗位驻佛山项目现场，若介意请勿投 【岗位职责】 1. Agent 系统架构与研发： √ 负责基于大模型的 Agent 系统设计与开发，构建具备感知、规划、记忆及工具使用能力的智能体。 √ 设计并实现复杂的多步任务编排（Workflow），确保 Agent 在业务场景中的逻辑闭环。 2. 框架应用与深度定制： √ 熟练运用 LangChain、LlamaIndex 等主流框架，深入理解其核心组件（Chains, Agents, Tools, Memory, Callbacks）的工作原理。 √ 根据业务需求对框架进行二次开发或优化，解决原生框架在特定场景下的局限性。 3.RAG 与知识增强： √ 搭建并优化 RAG（检索增强生成） 技术栈，包括文档解析、向量数据库选型、检索策略优化（混合检索、重排序等），提升回答的准确性与时效性。 √ 解决幻觉问题，确保 Agent 输出内容的可追溯性与可靠性。 4.Prompt 工程与效果调优： √ 设计高效、稳定的 Prompt 模板 与指令集，运用 CoT（思维链）、Few-Shot 等技巧提升模型表现。 √ 建立 Prompt 版本管理与评估体系，持续迭代优化。 5. 性能优化与工程化落地： √ 成本控制： 通过缓存机制、小模型蒸馏、Token 优化等手段，有效降低 LLM 调用成本。 √ 鲁棒性增强： 设计异常处理机制与重试策略，提高 Agent 在面对工具调用失败、网络波动或恶意输入时的稳定性。 √ 延迟优化： 分析系统瓶颈，优化并发处理与流式输出体验，降低端到端响应延迟。 【任职要求】 1.学历背景：计算机科学、软件工程、人工智能或相关专业，本科及以上学历。 2.工作经验：具备 2-3 年 及以上软件开发经验，其中至少 2-3 年专注于大模型应用（LLM）或 Agent 系统研发。有完整的 LLM 应用从 0 到 1 落地经验者优先。 3.技术栈要求： √ 精通 Python 编程，熟悉异步编程、API 设计及微服务架构。 √ 熟练掌握 LangChain / LlamaIndex / AutoGen 等至少一种主流 Agent 开发框架，并阅读过核心源码。 √ 熟悉主流大模型（如 Llama 3, Qwen, GPT-4 等）的 API 特性及微调（Fine-tuning）流程。 4.核心能力： √ 深刻理解 Prompt Engineering 原理，有构建结构化 Prompt 库的经验。 √ 熟悉向量数据库（如 Milvus, Chroma, Elasticsearch）及 Embedding 模型的使用。 √ 具备优秀的系统调试与性能分析能力，能够量化评估 Agent 的准确率、召回率及响应时间。 5.综合素质： 对 AI 前沿技术保持敏感，具备良好的英文文档阅读能力。 具备较强的问题分析与解决能力，能够在模糊的需求下探索技术边界。 【加分项】 1.有 Multi-Agent（多智能体协作） 系统研发经验。 2.熟悉 Function Calling / Tool Use 的高级用法，有自定义复杂工具链的经验。 3.有垂直领域（如金融、法律、医疗、客服）的大模型落地经验。 4.熟悉模型量化、本地部署（vLLM, Ollama）及私有化大模型搭建。"
AI应用/Agent开发工程师,深圳国家高技术产业创新中心,面议,深圳·南山·粤海,1-3年,本科,事业单位,100-299人,社会团体与公益组织,,职位描述 一、岗位定位 本岗位负责AI驱动的软件应用开发工作，要求候选人具备扎实的后端开发经验、良好的全栈视野，以及将AI技术快速落地的实践能力，与业务团队协同打造可用、稳定的行业应用产品。 二、岗位职责 负责AI应用的整体或核心模块开发，重点完成后端服务（API设计、数据处理、业务逻辑、AI能力集成），兼顾前端交互界面的实现，保障产品快速迭代与稳定运行。 对接内外部业务需求，完成智能分析、报告生成、知识库构建、信息采集、智能数据查询等AI功能模块的设计、开发与集成，持续优化性能与用户体验。 综合运用Workflow编排、LangChain、RAG、Prompt工程等技术，或集成外部工具（网页操作、API调用、搜索引擎等），提升AI功能的准确性与执行效率。 设计并实现与AI能力深度整合的API接口，规范前端、后端及算法服务间的数据交互逻辑，支撑复杂业务场景下的智能交互。 负责服务的容器化部署、监控告警、故障排查与日常运维，建立稳定性保障机制，撰写并维护相关技术文档。 三、任职要求 本科及以上学历，计算机相关专业，1-5年实际项目开发经验。 扎实的后端开发能力：有完整后端正式项目经验，熟练掌握Python/Java/Node.js/Go至少一门语言及对应框架（Django/Spring Boot/Express等）；熟悉PostgreSQL/MySQL及Redis，了解消息队列或ES者优先。 AI工程实践：熟悉大模型API调用（OpenAI API或同类）、LangChain、RAG等开发模式；至少熟练使用两种以上AI Coding工具（如Cursor、Copilot、Claude Code等），有日常借助AI Coding工具提升开发效率的习惯。 全栈与部署能力：能基于React/Vue配合组件库完成简单前端页面并与后端联调；熟悉Docker、Linux，了解CI/CD及云服务部署。 综合素质：具备业务理解与沟通能力，能将需求拆解为技术方案；自驱、注重代码质量与文档规范。 加分项：有从0到1独立完成AI应用并上线运营的实际项目经历；具备产品设计思维；有团队主导或项目管理经验；有多智能体编排或工具链开发实践。 四、我们提供 稳定的事业单位平台：提供长期稳定的工作环境与健全的福利保障体系； 从0到1的产品主导空间：深度参与产品全流程，拥有从需求到落地的自主决策权； 职业发展支持：清晰的职业发展路径与持续成长支持。薪酬面议。
高级渠道销售BA（BI指标搭建&经营分析）-线上面试,深圳市法本信息技术股份有限公司,2-3万,深圳·南山·西丽,3-5年,本科,上市公司,1000-9999人,软件/IT服务,优选雇主,"职位描述 1、负责渠道或零售业务的指标体系搭建，打通客户、价格、促销、分货、渠道下单、渠道库存、终端零售等核心业务数据链 2. 落地销售BI整体看板规划以及面向经营决策的经营驾驶舱 3.丰富的项目管理能力，能够协同供应商按期保质完成团队业务目标； 4. 有数据运营和分析能力，落地业务、产品的健康度运营指标，并对数据指标定期晾晒分析，通过运营报告推动业务团队和IT产品团队的持续改进优化 1. 本科及以上学历，数学、统计学、计算机、经济学、管理等相关专业，3年以上数据分析相关工作经验； 2. 熟练掌握python,sql，熟悉市面常用BI可视化数据工具(Tableau, QuickBI等），了解数据采集一清洗-加工-可视化的全流程工作； 3. 熟练掌握指标体系设计与优化能力，了解指标的分类和关系，能根据业务需求构建、识别和拆解指标； 4. 熟练掌握统计建模等统计分析方法，具备独立完成异常识别、因果推断至业务归因的全流程能力； 5. 拥有良好的沟通协作能力，能够跨部门合作，向业务、产品和技术团队清晰传达数据见解。"
Academic Data & Digital Transformation Lead 学术数据与数字化项目负责人,深圳市万科梅沙书院,2-2.5万,深圳·盐田·梅沙,3-5年,本科,民营,100-299人,课外培训与资格考试,,职位描述 【岗位职责 | Responsibilities】1. 学术数据体系与自动化建设（约50%）• 数据治理： 负责学生全生命周期学术数据（入学评估、GPA/学分、MAP/AP/SAT/TOEFL 等）的标准制定与质量管控，确保“单一数据源”的准确性。• 敏捷数据运营： 作为 Excel 专家，利用高级函数与多表关联，快速响应和处理高频、非标准化的教务统计需求。• 效能提升： 利用 Python / R / Matlab 编写轻量级脚本或定义逻辑，配合技术负责人实现数据清洗与流程自动化，持续消灭低效手工劳动。2. 学术数字化系统项目管理（约30%）• 产品负责人 (PO)： 作为“学生360画像系统”等核心项目的负责人，主导全流程管理。• 需求翻译官： 充当**“业务与技术之间的桥梁”**，深入教学一线挖掘痛点，将模糊的业务需求转化为精准的技术开发文档（PRD）。• 落地与交付： 协调校内外资源，主导用户验收测试 (UAT)，制作用户手册并组织培训，确保系统真正服务于教学一线。3. 决策支持与战略分析（约20%）• 战略汇报： 输出月度/学期学术运营与风险预警报告，为管理层提供决策依据。• 可视化呈现： 运用咨询级的 PPT 叙事能力 与 Tableau/BI 看板，将复杂数据转化为直观的关键洞察。• 市场洞察： 跟踪国际教育与升学考试趋势，结合校内数据，为学校提供前瞻性的学术策略建议。【任职要求 | Requirements】1. 基本门槛• 学历背景： 统计学、商业分析、计算机、数学或教育管理等相关专业海外本科及以上学历。• 工作经验： 具备 3-5年 数据分析、商业分析 (BA)、咨询、或教育科技产品相关经验。2. 硬核技能• Excel 统治力： 精通 Excel（专家级），能解决绝大多数复杂业务逻辑。• 数据工具： 熟悉 Python / R / Matlab 至少一门语言（侧重于数据清洗与分析应用），熟练使用 Tableau / Power BI 等可视化工具。• 汇报能力： 具备极强的 PPT 制作与演讲能力，能够独立完成面向管理层的战略汇报。3. 核心素质• 逻辑与业务感： 逻辑思维缜密，能独立拆解复杂的国际学校业务规则（如GPA算法、排课逻辑）。• 沟通与抗压： 中英文流利（工作语言），具备极强的服务意识与跨部门协调能力，能适应多线程工作的挑战。• 高潜质： 对 AI 与教育科技保持敏感，具备从“独立贡献者”向“管理角色”发展的潜力。4. 加分项 (Preferred)• 有知名咨询公司（Consulting）或互联网大厂商业分析（BA）背景者优先。• 有 Tableau / Power BI 仪表盘从 0 到 1 搭建经验者优先。• 熟悉国际学校课程体系（AP/A-Level/IB）及升学逻辑者优先。
AI Agent测试工程师,深圳市乐有家控股集团有限公司,1.2-1.8万·14薪,深圳·福田·园岭,1-3年,本科,民营,10000人以上,房地产中介/租赁,,职位描述 【我们想要的人】既能主导AI Agent质量保障，又能带领团队用AI工具提升测试效率的复合型专家。【岗位亮点】1.前沿方向：大模型 + Agent 质量体系建设2.有技术决策权，直接推动团队效能变革【岗位职责】1.负责AI Agent（大模型应用、RAG、多智能体等）的全流程质量保障，搭建评测体系，攻克效果评估、安全合规、自动化回归等难题2.搭建并维护Agent测试环境与监控体系，构建自动化测试框架，持续提升测试覆盖率与效率3.识别测试效能瓶颈，引入/自研AI工具（代码生成、用例生成等），带领团队实现测试效率显著提升【任职要求】1.本科及以上学历，计算机、软件工程、人工智能相关专业，至少2年AI产品（大模型/Agent/RAG）测试经验2.懂Agent技术架构：熟悉主流Agent框架与产品，了解Prompt、Skills、Tools、Memory、上下文工程等核心原理，能与AI团队高效对话3.有AI产品实战经验：经常使用Agent类产品，对其能力边界有清晰认知；熟悉智能对话、内容生成等常见AI应用场景的测试方法4.能搞定大模型专项测试：有大模型性能测试、RAG系统或AI Agent的实际测试经验5.工程能力扎实：能独立搭建测试环境、构建自动化工具链，持续创新测试方案6.有成功带领团队用AI工具提升测试效率的实战案例，能讲清过程和效果
AI Agent工程师,吉安吉州区悦云创信息咨询有限公司,9000-18000元·13薪,深圳·龙华·龙华,3-5年,本科,20-99人,软件/IT服务,,,职位描述 工作职责1. 负责AI Agent系统的核心功能开发，包括智能决策、任务规划与多Agent协同机制设计。2. 基于大模型（如GPT、Claude等）构建Agent的知识体系与交互逻辑，提升系统的自主学习与问题解决能力。3. 参与AI Agent在具体业务场景（如智能客服、自动化办公、数据分析）的落地实践，优化技术方案以匹配业务需求。4. 跟踪AI Agent领域的前沿技术动态，引入创新方法提升系统性能与稳定性。任职要求1. 计算机科学、人工智能等相关专业本科及以上学历，基础扎实。2. 具备3年以上AI相关研发经验，熟悉大模型原理、Prompt Engineering及Agent框架（如LangChain、AutoGPT等）。3. 精通至少一种编程语言（Python优先），掌握机器学习、自然语言处理等核心技术栈。4. 具备复杂系统设计能力，能独立完成AI Agent的架构设计与模块开发。5. 有实际AI Agent项目落地经验者优先，具备业务场景理解与需求转化能力。
"Account Manager, Shenzhen",液化空气(中国)投资有限公司,1-1.5万·15薪,深圳·宝安·新安,经验不限,,外商独资,1000-9999人,石油/石化,优选雇主,"职位描述 液化空气集团早在1916年就进入中国，70年代开始向中国提供空分设备，经过多年的稳步发展，目前在中国设有近120家工厂，遍布40多个城市，拥有约5000名员工。集团在华主要经营范围包括工业及医用气体的运营，家庭健康服务，工程与制造业务，以及全球市场与技术和上海创新园从事的创新业务。公司业务已覆盖中国主要的沿海工业区域，并继续向中部、南部和西部地区拓展。液化空气通过创造卓越绩效和履行责任追求盈利性增长和长期可持续发展，并保持在中国的行业领先地位。依托于集团的长期战略与全球资源，公司聚焦能源、环境、高科技和健康等领域，以迎接挑战并创造新的市场机遇。凭借专业团队的全力支持，公司致力于为客户提供可信赖的服务与高附加值解决方案，同时履行企业社会责任。Account Manager, Shenzhen您将如何贡献和成长？ Identify and follow business opportunities in the electronics industry, especially for IC and FPD customers. Maintain customer relationship of assigned account, meanwhile look for potential customers and identify new business opportunities; Complete appropriate business solutions based on the competitive environment and profit, and perform the business negotiation; Lead commercial negotiation and contract signature. Support region and project execution team’s activities.您是合适的人选么？ Sales & account mgmt experience around 5 years Familiar with Semi/LED/PV industry Chemical, mechanical, electronics, materials, automation, engineering background will be a plus关于液化空气集团 液化空气集团 —— 全球工业与健康领域气体、技术和服务的领导者，业务遍及78个国家/地区，员工约64,500人，为380多万名客户与患者提供服务。氧气、氮气和氢气是生命、物质及能源不可或缺的小分子。它们象征着液化空气的科学疆域，自集团1902年成立以来，始终位于其业务的核心。多样化造就了我们的业绩 在液化空气，我们致力于建立一个多元化和包容性的工作场所，拥抱来自全球的员工、客户、患者、社区利益相关者和文化的多样性。我们欢迎并考虑所有合格申请人的申请，无论他们的背景如何。我们坚信，多元化的组织为人们提供了展示个人和集体才能的机会，它有助于培养我们的创新能力，通过践行我们的基本原则、为我们的成功而努力并在不断变化的世界中创造一个有吸引力的环境。"
