岗位名称,公司名称,薪资范围,工作地点,学历要求,经验要求,公司规模,公司行业,福利待遇,职位信息
大模型 Prompt 实习生（ Agent 应用方向）,智谱华章,200-250元/天,苏州,本科,,500-999人,互联网,补充医疗保险|定期团建|带薪年假|生日福利|餐补|五险一金|节日福利|股票期权|包吃|免费工装|零食下午茶|定期体检|团建聚餐|年终奖,职位描述 1. 大模型应用设计与开发 - 探索并落地企业内部大模型应用来自场景，完成⽅案设计、开发与性能评测 - 撰写项⽬⽂档，定期复盘并总结经验 2. 前沿技术研究 - 开展 Prompt Engineering、RAG、Agent 等方向的前沿技术研究 - 深入理解提⽰词工程与检索（Search）技术 3. 智能化需求对接 - 调研、收集并提炼企业内部智能化需求 - 输出可落地的解决方案 4. 项目管理与交付 - 配合项目经理进行项目管控，确保按计划高质量交付 - 参与客户沟通，深度挖掘业务场景，持续优化解决方案 职位要求 - 技术与实践能力 - 扎实的 Python 开发功底 - 具备 NL2SQL、RAG 等技术的实践经验 - 熟悉大模型在 B 端的应用场景，逻辑清晰、善于总结归纳与抽象 - 深入了解 AI Agent，熟练使用 Coze、Dify 等智能体开发工具，能独立搭建复杂智能体 - 系统掌握 Prompt 工程方法，能够基于不同业务场景完成 Prompt 设计与效果评测 - 能力素质 - 优秀的业务模型分析能力、沟通能力和文档编写能力 - 强抗压性，能适应长期出差安排 - 思路清晰、认真严谨，执行力强、自驱力高 - 对业务敏锐，能够在复杂环境中识别关键矛盾并制定短期与长远方案
人工智能算法学员_大模型 Agent 开发方向,博世中国 / 集团,250-300元/天,苏州,本科,,10000人以上,智能硬件,五险一金|员工旅游|补充公积金|带薪年假|餐补|年终奖|节日福利|通讯补贴|免费班车|补充医疗保险|交通补助,岗位职责 参与基于大语言模型的 AI Agent 系统设计与开发，覆盖任务规划、工具链调用及⾃动化流程实现。 使⽤⼤模型或 Agent 框架（如 LangChain、OpenClaw）进行功能开发、验证与性能优化。 开发与实现代码生成、代码理解及智能⾃动化工具等前沿 AI 应用。 协助设计高效 Prompt、优化 Agent 逻辑，并进行系统调试与性能评估。 跟踪 AI Agent 前沿技术动态，参与新功能原型设计与实现。 岗位要求 工科专业本科或研究生在读。 熟悉 Python 或 C++，具备良好的编程能力和算法思维。 熟悉 Linux 开发环境及 Git 等现代软件开发流程。 理解大语言模型核心概念，具备快速学习能力。 自驱力强，能够独立分析问题并提出解决方案
agent开发实习生,思必驰科技股份有...,200-250元/天,苏州,本科,,500-999人,互联网,五险一金|定期体检|节日福利|包吃|员工旅游|带薪年假|餐补|年终奖|股票期权|补充医疗保险,岗位boss职责： 1. AI应用工程化：参与大模型应用的全流程开发，包括Agent架boss构设计，RAG系统搭建，⼯具链封装等，推动AI技术在业务场景落地； 2. 智能体能⼒建设：参与AlAgent的任务规划，意图识别，记忆管理等核⼼模块开发，打造能解决真实问题的智能助手； 3. 技术攻关与优化：针对模型效果，系统性能，安全合规等挑战，参与技术方案设计和持续优化，推动技术⽣态建设； 岗位要求： 1届在读，计算机/软件工程/人工智能等相关专业本科及以上学历； 2. 熟练掌握Python/Java至少一门语言，具备扎实的算法和数据结构基础； 3.了解LLM基础与常见能力：Prompt设计，函数调用/工具使用，上下文管理，流式响应； 4. 良好的沟通能力和团队协作精神； 优先条件： 1.有Agent框架经验LangChain/LangGraph/AutoGen/CrewAl/OpenAl Assistants等； 2.有个人项目/竞赛/开源贡献(附链接)，或能展示完整端到端智能体应用作品；
Agent工程师,浙江迈实,4-6K,苏州,本科,经验不限,20-99人,环保,住房补贴|保底工资|加班补助|五险一金|包吃|年终奖|股票期权|餐补|零食下午茶|底薪加提成|绩效奖金,岗位职责: 1. 负来自责Agent系统的设boss计、开发与优化 2. 参与智能交互模块的实现与迭代 3. 配合团队完成技术方案的落地与集成 任职要求： 1. 具备扎实的编程基础和系统设计能力 2. 熟悉主流AI框架，对智能体技术有实践经验 3. 具备良好的沟通能力和团队协作意识
全栈开发工程师(AI Agent),大我网络,8-13K·13薪,苏州,本科,1年以内,0-20人,互联网,,"【boss岗位综述】： 负责构建以boss大模型为核心的新一代智能应用，不仅要处理复杂的业务逻辑与数据持久化，boss更要通过 Agent boss框架赋予系统⾃主思考、决策与执⾏的能⼒。 【岗位职责】： 1. AI 智能体研发：利用大模型（LLM）设计并实现具备任务规划、长短记忆、⼯具调用能力的智能体系统。 2. 后端架构与集成：基于Spring Boot、flask等体系构建高并发、高稳定的AI后端服务，完成AI能力与传统业务系统的深度集成。 3. 数据中台建设：负责结构化数据库、向量数据库、知识图谱的混合架构设计，非结构化数据到知识图谱的自动化抽取，本体建模及图数据演进，优化RAG效果。 4. 全栈交付：负责从后端API设计到前端AI交互界面的全链路开发与快速迭代。 【任职要求】： 一、核心AI应用能力 1. Agent开发：深入理解 LangChain / LangChain4j 或 Spring AI 框架，有实际的智能体编排经验。模型应用：精通 Prompt 工程，熟悉如何通过 Function Calling 驱动后端接口，解决大模型在复杂业务场景下的落地问题。 2. RAG实践：精通Neo4j ，熟练编写高性能Cypher查询、深入理解RAG全链路优化，包括知识切片优化、Rerank（重排序）、图上下文增强等技术。 3. 前沿追踪：关注 DeepSeek、OpenAI、Claude 等主流模型演进，能根据场景选择最优的模型策略。 二、全栈开发能力 1. 后端：精通 Java，掌握 Spring Boot 及其生态（Spring Cloud, MyBatis/JPA 等），具备健壮的接口设计能力。 2. 数据库：熟练编写高性能 SQL，具备复杂表结构设计能力，理解事务处理与分布式存储。 3. 前端：具备 React / Next 或 Vue 3 的开发能力，开发具备图谱可视化、直观交互的前端页面，熟悉AntV G6、D3或Echarts等图可视化框架者优先。 三、综合素质 1. 逻辑拆解：能将复杂的业务流程拆解为Agent的分步任务链（Chain/Graph）。 2. 工程化思维：不止于 Demo 开发，能解决 AI 应用在生产环境中的稳定性、响应耗时及成本问题。 【加分项】： 1. 有 Dify、Coze 等平台的深度落地经验。 2. 有自研或深度参与过开源 AI Agent 项目的经历。 3. 了解模型微调（Fine-tuning）或模型量化部署基本概念。"
Agent 开发工程师（Coze 方向）,攀峰,8-13K,苏州,学历不限,1-3年,20-99人,批发/零售,生日福利|团建聚餐|底薪加提成|绩效奖金|加班补助|保底工资|定期体检|带薪年假,1、⽤ Coze、可视化⼯具搭建 Agent 流程与对话策略，实现节点boss逻辑及外部 API 集成； 2、配合梳理需求，完成 Agent测试⽤例设计与联调； 3、编写并维护 Agent 文档、测试记录及上线检查清单； 4、通过日志、数据追踪定位 Agent 问题，完成修复。 5、通过Coze创建公司相关的聊天机器⼈，如客服助手、任务分配助手、知识查询系统等，以满足不同业务需求。
AI应用全栈开发/AI Builder (Agent方向 ),赢视界,16-30K·14薪,苏州,本科,3-5年,0-20人,广播/影视,股票期权|五险一金|年终奖|通讯补贴|餐补|交通补助|带薪年假|节日福利,我们AI项boss目聚焦少儿素养启蒙及成长赛道，以「AI智能boss体+ 少儿成长OS系统」为核心，打造差异化产品——依托我们现有的动画IP和少⼉故事体系，，通过“故事收听+趣味互动及任务游戏+ 陪伴+素养沉淀成长”的创新模式，为4-12岁少⼉提供趣味化、个性化的素养启蒙和陪伴与成长体验。 未来我们将持续深化⽣态，成为千万家庭首选的儿童成长陪伴平台，真正⽤“AI+IP”，成为新一代少儿成长陪伴标杆。 工作内容 1. 负责项目 AI 智能体整体设计与落地（尤其是MVP打造），搭建轻量化 Agent 应用架构，完成专属角色人设锁定、会话连续记忆、个性化交互逻辑开发； 2. 对接主流大模型 API，熟练运用提示词工程、内容约束、输出规范，打造低龄儿童友好、温柔陪伴式对话体验； 3. 结合 IP 剧情内容，落地剧情联动互动、场景化引导、轻量化费曼式问答设计，保障 AI 回答贴合世界观、不跑偏、不说教； 4. 掌握基础 RAG 轻量化应用，完成剧情素材、素养知识点的知识库挂载，实现内容精准应答； 5. 独立完成微信小程序前端 + 后端全栈开发，包含音频播放、剧情浏览、AI 对话、用户中心、成长数据记录等核心模块； 6. 搭建简易后台、用户数据管理、行为埋点，实现能力成长数据可视化、成果可量化； 7. 运用各类 AI 开发工具、低代码 / 高效开发工具，快速迭代、低成本完成 MVP 落地，配合内容团队持续优化 AI 交互体验。 任职要求 1.该阶段 无需深度学习、无需大模型底层算法、无需模型训练，纯 AI 应用层开发即可； 2. 熟悉 AI Agent 核心架构逻辑，理解会话记忆、任务拆解、角色约束、安全风控等核心机制； 3. 精通 Prompt 工程、人设定制、上下文管理，有儿童类 / 陪伴类 AI 智能体落地经验优先； 4. 熟练微信小程序开发，掌握 uni-app / 原生小程序，具备 Vue 等前端基础； 5. 具备后端开发能力，熟悉 云开发、数据库、接口开发，可独立完成前后端联调； 6. 了解 RAG 基础应用逻辑，能快速搭建轻量化知识库问答； 7. 具备独立解决问题能力，适应初创团队，高效落地、快速迭代，愿意长期参与产品打磨。
大模型开发,润和软件,10-13K,苏州,本科,3-5年,10000人以上,计算机软件,员工旅游|年终奖|定期体检|餐补|五险一金|带薪年假,【岗位职责】 一、智能体与AI应用核心开发 1应用开发：基于LangChain4j、Spring AI或Python LangChain框架，完成⼤模型应⽤服务的开发与集成。 2.模型微调与优化：根据业务场景（如邮政、政务、物流），对开源⼤模型进行LoRA等轻量化微调，并部署上线。 3知识库建设：设计并实现高效的知识库检索⽅案，处理PDF、Word、扫描件等复杂文档，通过分块策略、重排模型、查询改写等技术组合，持续提升检索准确率。 4工程：针对不同业务场景（客服问答、工单分类、合同比对等），设计、测试并迭代高效的提示词策略。 5服务落地：负责MCP服务的开发、搭建与调用，实现AI能力与现有业务系统的标准化对接。 二、全栈协作与技术探索 1.数据支撑：负责向量数据库（Milvus）、关系数据库（MySQL）及缓存（Redis）的设计与使用，并探索图数据库（Neo4j）在知识图谱场景的应用。 2.前端协作：理解产品需求，能与前端工程师配合完成AI功能的前后端联调；具备基于Vue3编写简单管理页面或原型的能力。 3编程实践：熟练使用Cursor、GitHub Copilot、通义灵码等AI编程工具，实践Vibe Coding理念，提升个人及团队开发效率。 【任职要求】 基础条件： 本科及以上学历，计算机、人工智能、软件工程等相关专业。 2年以上开发经验，其中至少1年AI应用开发经验。 核心能力（必备）： AI理论基础：了解Transformer架构、大模型基本原理；熟悉PyTorch/TensorFlow框架，有模型微调（LoRA/QLoRA）实操经验。 AI应用框架：熟练掌握LangChain4j或Spring AI（Java方向）或Python LangChain，有实际项目开发经验。 RAG与Prompt：深度理解RAG完整流程，有实际复杂文档处理及检索优化经验；能独立完成高质量Prompt设计。 编程语言：精通Java（Spring Boot） 或Python，至少一门语言功底扎实，两者皆熟者优先。 数据库：熟练使用MySQL；至少熟悉一种向量数据库（Milvus/Qdrant/PGVector）；了解Redis基本使用。 加分项（优先考虑）： 有MCP服务实际开发与上线经验。 有图数据库（Neo4j）使用经验。 熟悉Vue3前端开发，能写简单页面。 对Agent技术（如Plan-and-Execute、ReAct）有深入实践。
AI应用开发/AI智能体/Agent方向,苏州云眠界电子商务,9-13K,苏州,本科,1-3年,20-99人,电子商务,保底工资|团建聚餐|五险一金|加班补助|有无线网|生日福利|餐补|零食下午茶|节日福利,岗位职责： 1/.负责AI智能体应用开发，基于行业需来自求(家纺行业)，将智能体方案落地实施，完成从需求分析到产品交付的全流程开发⼯作。 2/深度参与智能体核⼼功能设计与代码编写，主导技术攻关，解决开发过程中的复杂技术问题，确保项⽬高质量推进。 3/跟踪AI领域前沿技术，探索新技术在智能体开发中的应用，持续优化产品性能与⽤户体验。 4/牵头开发公司自主的AI智能体基础平台，对标行业优秀产品(如hi agent、dify)，构建标准化、可复用的开发框架与工具链。 5/与产品、设计、测试等团队紧密协作，确保智能体产品符合业务目标与质量标准。 任职要求： 1/计算机科学与技术、人工智能、软件工程等相关专业，本科及以上学历 2/2-3年以上Al应用开发经验，始终保持一线代码编写，具备扎实的PythonJava等编程语言功底，熟悉常用AI开发框架(TensorFlow、PyTorch、LangChain等) 3/拥有实际的AI智能体作品，代码开源在GitHub等平台，或有上线的应用案例，可提供成果展示 4/具备多个不同行业的AI智能体落地解决方案经验，熟悉行业业务流程与技术痛点，能针对性设计开发适配方案 5/对AI智能体技术架构、交互逻辑、知识图谱构建等有深入理解，熟悉大模型调用、微调、Prompt工程等技术;精通Cursor，Chatgpt，Deepseek等AI工具进行模型训练和AI内容生成 6/具备良好的问题解决能力、团队协作能力和学习能力，能适应快速变化的技术环境 7/有智能体基础平台开发经验，或参与过类似项目者优先 薪资待遇： 朝九晚六 大小休 9K-13K 五险一金 温馨提示： 需要线下面试 没在苏州的勿扰
AI后端开发工程师 - Agent方向,某小型人力资源服务公司,15-25K,苏州,本科,经验不限,20-99人,人力资源服务,全勤奖|五险一金,AI后端开发工程师 15 工作职责 职位描述： 寻找一位熟练掌握Pythonboss和Java的后端开发工程师，参与集团AI平台的开发和维护⼯作。负责设计和实现的AI相关产品功能。 主要职责： 参与集团AI相关平台的开发和维护⼯作。 职位要求： 1.熟练掌握Python开发，掌握Flask，Sqlalchemy，Celery等主流框架，深⼊理解框架实现原理及特性；熟练使用python的常用库 2.熟练掌握Java开发，熟悉微服务架构及主流的微服务技术栈，如Spring Boot、Spring Cloud和MyBatis，对JVM的原理有⼀定的了解 3.有AIGC产品开发经验，掌握dify，langchain等主流框架，深入理解框架实现原理及特性；掌握RAG，WorkFlow，Tools，Prompt，FuctionCalling等技术的实现和原理 4.熟悉Linux操作系统，并熟练使用命令行工具 5.熟练使用版本管理工具（如 Git 或 SVN），具备良好的代码编写习惯 任职资格 1.熟悉PAAS产品、了解并使用过的优先 2.有使用docker/K8S容器使用部署经验者优先 3.熟悉敏捷开发、devops，熟练使用ci/cd者优先 Python（偏Agent方向）深度开发经验、Java 开发经验（Springboot、SpringCloud）
