岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
数据标注专员-T序列-AI语音技术提效工程师（预训练方向）,中电金信软件有限公司,1-2万,北京·海淀·海淀街道,1-3年,本科,国企,10000人以上,软件/IT服务,优选雇主,职位描述 岗位职责： 1、结合大模型研发需求，搭建音视频数据持续收集机制。 2、负责数据清洗、去重、格式转换、隐私脱敏及风险分流，封装为训练集格式并沉淀统一接入方案。 3、持续拓展数据渠道、优化处理链路，提升预训练数据规模与多样性，配合研发团队响应数据需求、解决相关问题。 4、跟踪Al领域前沿技术（如多模态、Agent框架、Harness Engineering)，探索前沿技术在复杂任务中的应用。 岗位要求: 1、计算机、数据科学、电子信息及相关专业本科及以上学历，良好的沟通和团队协作能力； 2、2年以上工程研发经验，熟练掌握Python、Golang等至少一种开发语言，python优先，音视频经验优先 3、熟练掌握Prompt设计技巧，了解语音处理技术或NLP基础算法。 4、熟悉数据仓库操作(HSQL)和数据分析工具（Pandas、Tableau）。
爬虫工程师（音视频数据方向）——AI大厂,外企德科,1.5-2.5万·15薪,北京·海淀·海淀街道,1-3年,本科,合资,20-99人,人力资源,,职位描述 工作职责：1. 负责互联网音频、视频平台的数据采集，包括节目/专辑/视频元数据、评论、播放数据等信息的抓取与结构化整理。2. 设计并实现稳定高效的音视频爬虫系统，支持大规模、多站点的持续采集与更新。3. 针对主流音视频平台的反爬机制（登录态校验、频控、滑块验证码、JS 加密、动态接口、加密链接等）进行分析与对抗，持续提升成功率与稳定性。4. 参与音视频资源解析相关工作，如播放地址/m3u8/DASH 等协议分析、加密参数解析、接口抓包与协议还原（仅用于合法合规场景）。5. 搭建数据采集监控体系，包含任务调度、失败重试、数据质量监控、告警与日志分析。6. 持续优化爬虫框架与采集策略，提升抓取效率、降低带宽与存储开销。7. 与产品、算法、数据、内容运营等团队配合，根据业务需求设计数据采集方案，为推荐、内容分析、风控等场景提供数据支持。8. 编写和维护相关技术文档、开发规范，参与爬虫平台的架构演进。任职要求：1. 本科及以上学历，计算机相关专业优先，具备 1 年及以上互联网爬虫或数据采集相关经验（优秀者可适当放宽）。2. 精通 Python，熟悉 Scrapy、Requests、Playwright、Selenium 等至少一种爬虫/自动化框架，有实际项目经验。3. 深刻理解 HTTP/HTTPS 协议和浏览器工作机制，熟练使用抓包工具（如 Charles、Fiddler、Wireshark、Chrome DevTools 等）进行接口分析与问题排查。4. 有针对主流网站或 APP 的反爬对抗经验，熟悉登录维持、Cookie/Token 管理、代理池、UA 伪装、JS 逆向、加密参数还原等技术手段。5. 对音视频播放相关协议和格式有一定了解，例如：* 常见音视频封装格式与编码（MP4、FLV、HLS/m3u8、DASH 等）；* 简单理解 CDN、分片下载、防盗链等机制者优先。6. 熟悉常见存储与缓存，如 MySQL、Redis、MongoDB、Elasticsearch 等，了解基本的数据清洗、去重和索引优化。加分项：* 有自研或主导搭建过大规模分布式爬虫/采集平台的经验；* 有面向音视频内容的搜索、推荐、内容理解、版权分析等相关项目经验；* 熟悉 Linux 环境，能够进行基础运维与部署，有 Docker/Kubernetes 经验者优先；* 在 GitHub、技术博客、社区有技术输出或开源项目经历。
字节 AI数据采集（双休包三餐）,江苏成功企业管理有限公司苏州分公司,1-1.4万,北京·海淀·中关村,1-3年,本科,民营,1000-9999人,人力资源,,职位描述 一线互联网大厂，接受无经验，提供带薪培训，入职五险一金，周末双休，提供免费三餐，无限量下午茶~职位描述：1.负责深度学习算法的数据采集和整理，推动问题及时合理解决；2.负责据采集工作，之前有传感器采集经验最好；3.负责数据场景的采集和可视化工作；4.辅助常规的数据测试和采集监督工作职位要求： 1.本科以上优先，对数据敏感；2.吃苦耐劳，对数据采集工作有较好的理解和兴趣，有一定的抗压能力；3.逻辑思维较好，熟悉计算机基础操作4.有AI数据采集方面相关工作经验者优先；5.有python等脚本编程能力者优先
Ai直播居家每天2小时日收入破千,安徽晓聚文化传媒有限公司,2.5-5万·13薪,北京·东城·东华门,经验不限,,民营,100-299人,新媒体/MCN,,职位描述 没有经验，小白都可以。在家躺着都能赚钱。1免费培训：免费在线培训。2直播平台：抖音3.工作地点：不限制地区。在自己家里直播。4工资发放：主播每天自提。5礼物提成：45%6休息时间：自由安排7直播内容：聊天，唠嗑，开玩笑，吹牛，互动小游戏等，不要求直播经验和才艺。有才艺更好任职要求：形象气质佳（不要害怕自己不好看，美颜比你想象的强大）活泼，开朗，喜欢聊天，（不会说话的，我们也教，放心我们大把讲师授课）配合公司完成专业培训指导（所有培训都是免费的）福利待遇高服务，我们培训人员每天轮流值班，全天24小时在线，帮助主播发现问题。即时调整。迅速帮助主播做起来。
高薪AI软件销售+提供资源+不加班,北京同创蓝天云科技有限公司,7000-14000元,北京·丰台·丰台街道,经验不限,,民营,100-299人,软件/IT服务,,职位描述 欢迎小伙伴们投递简历或来电咨询！您只需要年龄在20-35岁之间、会电脑简单操作、口齿清晰、语言表达能力强、能说话、敢说话、有强烈的挣钱欲望，就可以加入我们的团队。【商企数字化转型宣传获客必备】公司旗下自主研发酷雷曼VR全景AI智能数字化升级营销平台×云微客GEO（AI搜索优化/AI搜索推荐）优化系统，无需专业技能，普通人也能轻松上手。依托AI搜索优化与推荐技术，精准抢占流量入口，将宣传展示内容推送给目标客群。同时沉浸式VR全景体验加深品牌认知，实现从获客到留存转化的高效闭环，助力商企品牌价值提升与业绩增长。咱们客户大致分两类:第一类是终端客户，就是急需给自己做VR全景及AI营销拓客的，公司拥有全行业落地方案及实际案例，大到政企小到衣食住行商户，适用于各行业领域；第二种是合作客户，一是手握市场资源但技术支撑不足的公司机构，二是渴望通过副业创业实现自我价值的个人。公司提供全程陪跑式帮扶、技术及商业落地模式，无需开店及团队，轻资产抢占互联网风口项目。【提供准意向客户】不需要自己找客户，公司网络营销部在各大平台投放的广告，各种推广渠道都有，客户源源不断。成单率高，轻松月薪上万。【工作内容简单】以电话、网络等形式与客户沟通，解答咨询问题定制方案，邀约客户到公司面谈成交或线上成交。【没有经验有人带】销售岗无需相关行业经验及专业技术知识，但要沟通能力好，思维活跃，能抗压，有一定的社会阅历！入职有带薪培训、有人带，全程有领导帮扶，两三天即可上手与客户沟通。公司提供的客户资源都是通过广告推广来的感兴趣的意向客户，自己在努力些，一般两三周就可以开单。【薪资待遇很靠前】1. 综合底薪8000+，提成5%-13% ，另加奖金。2. 不定时安排聚餐、k歌、拓展、旅游等娱乐，有带薪法定假期、超长春节假期等。【工作轻松不加班】朝九晚六，中午休息一个半个小时。【办公环境高大上】公司提供电脑、电话，无外出，环境好。
AI搜索方向_业务研发工程师-实习JD,北京三快在线科技有限公司,面议,北京·朝阳·大屯,经验不限,本科,上市公司,10000人以上,互联网生活服务(O2O),最佳雇主,职位描述 基础研发平台是美团的核心技术平台，立足于“零售+科技”的战略定位，通过打造人工智能、大数据、云计算、安全等核心技术能力，以及研发效能平台、企业应用平台等公共服务，为业务提供稳定安全、扩展易用、技术领先的平台技术和产品服务。在这里，我们会参与到最前沿的技术研发和探索；能够接触超规模集群、海量数据，挑战高复杂业务场景，有机会与业界一流的工程师一起并肩前行。在这里，我们有超强的技术氛围，持续向社区贡献业界实践，加速行业技术发展；我们有完善的互联网学习生态圈，重视底层逻辑和方法论，助力职业生涯的非线性成长。真诚地邀请你，和我们一起驱动技术发展，创造行业价值。岗位职责1.AI通用搜索建设​：主导或参与企业级AI搜索系统的需求分析、架构设计与核心模块开发，涵盖智能体搭建、搜索引擎优化等场景，推动AI技术在搜索场景的工程化落地。2.AI Agent基础设施建设：包括但不限于DeepSearch和DeepResearch场景下的工程框架选型、代码开发，Response API建设等，加速模型与产品迭代效率。3.​核心模块开发​：探索LLM与搜索/RAG（检索增强生成）的结合，优化查询理解、结果排序等关键环节，使用大模型技术提升搜索结果的准确性及交互体验。4.性能优化与稳定性保障​：持续优化搜索系统的响应速度、高并发处理能力及容错机制，确保系统在高负载场景下的稳定运行。5.跨团队协作​：与算法、产品及其他工程团队紧密配合，完成需求拆解、技术方案对齐及效果验证，推动技术成果向业务价值转化。岗位基本需求1. 具备扎实的计算机基础，能够在Mentor的指导下完成功能模块的交付。2. 熟练使用常用研发工具，包括但不限于依赖管理打包管理工具Maven、版本控制工具Git等。3. 扎实的编程能力，熟练掌握Python、Java、C++等至少一种编程语言，拥有在这些语言下参与过实际项目开发的经历和技能更佳。4. 具备优秀的沟通能力和团队合作能力，能够与团队内人员进行快速高效的协作沟通。具备以下者优先1. 有搜索推荐系统、对话机器人（如智能客服）等开发经验，熟悉LangChain、LangGraph、LlamaIndex、MCP等Agent开发相关概念、框架。2. 做事有责任感和主动性，面对复杂问题，能清晰表述遇到的问题并能找到对应的人协助解决问题，最终达成目标。岗位亮点1. 前沿技术：参与AI搜索业务的研发工作，具有很高的技术挑战性和发展空间。2. 成长空间：丰富的学习交流机会，与优秀的工程师团队共同成长。3. 职业发展：薪资福利丰厚，公司前景良好，提供良好的职业发展机会。4. 工作环境：灵活开放的工作氛围，支持创新和试验的团队文化。
数字化研发工程师（AI、大数据方向）,国中康健(北京)供应链管理有限公司,1.8-2.5万,北京·丰台·看丹,3-5年,本科,国企,20-99人,医药批发/零售,,职位描述 岗位职责： 1.统筹公司整体技术研发规划，制定研发方向与阶段性目标，对齐公司业务发展需求； 2.负责公司体检，云平台、物资等数字化研发相关项目的立项、进度跟踪、成本管控及质量验收，确保项目按计划交付。 3.跟踪AI、云计算、大数据等前沿技术动态，评估新技术在业务场景的应用价值，推动技术创新与落地，构建公司技术竞争优势； 4.主导系统架构顶层设计与优化，解决大规模分布式系统、高并发场景下的技术瓶颈，保障系统高可用、高安全、高可扩展； 5.协调研发、产品、运营等跨部门资源，建立高效协作机制，将业务需求转化为技术方案，推动技术成果转化为商业价值； 6.建立研发过程数字化规范，指导研发人员规范使用数字化工具，确保流程执行的一致性和合规性。 7.建立技术质量与风险管控体系，制定研发规范与安全准则，提前识别并规避技术风险，保障业务稳定运行。 8.完成领导交办的其他工作。 任职要求： 1.政治面貌：中共党员优先 2.学历：本科及以上学历 3.专业：计算机科学与技术、软件工程、通信工程、网络工程、物联网工程、数据科学与大数据技术等相关专业 4.工作经历：4年以上研发团队管理经验 ，医疗健康、健康管理相关经验优先。 5.技能要求：精通至少要一种主流技术栈（如Java/Python/云原生），具备复杂系统架构设计经验 6.素质要求：兼具扎实技术硬实力与高效管理软实力，同时具备衔接技术与商业的战略思维，并拥有领导力、持续学习力、抗压担当与诚信等职业素养，以支撑技术决策、团队驱动与公司长远发展。
ai架构师（业务流程ai梳理优化）,北京悦琦创通科技有限公司,1.5-2.5万,北京·大兴·荣华街道,经验不限,本科,股份制企业,100-299人,医疗设备/器械/耗材,,"职位描述 核心职责 1. **业务流理解与抽象** - 深度理解BDSS/CDSS业务流，与老板高频沟通，准确捕捉业务设计意图 - 将业务流程抽象为结构化模型，形成可信息化落地的方案 2. **AI工作流搭建与落地** - 使用Coze（扣子）/ WorkBuddy / DIFY等AI工作流平台，将业务流转化为自动化、智能化的信息系统 - 负责Prompt工程、知识库构建、RAG检索优化、智能体设计 3. **信息化平台迭代优化** - 持续收集用户反馈，优化AI工作流的准确性、稳定性、用户体验 - 推动系统从Demo到生产环境的完整落地 4. **跨部门协作** - 作为老板与执行团队之间的桥梁，确保业务意图在系统层面精准还原 - 协助培训内部团队使用新系统 ## 任职要求（必备） - 本科及以上学历，计算机/系统工程/数据科学/信息管理等相关专业优先- **有以下至少一项直接经验**： - 使用过Coze、DIFY、WorkBuddy等AI工作流/智能体平台（强烈加分） - 有RAG、知识图谱、Prompt工程、大模型应用落地经验 - 有业务信息化系统从0到1的搭建经验- 具备优秀的业务理解能力和抽象思维能力——能听懂""业务语言""并转化为""系统语言""- 学习能力强，能快速掌握新工具、新平台- 自驱力强，能主动发现问题并推动解决"
数据分析与开发（AI技术岗）,龙禹石油,1-1.5万,北京·东城·和平里,3-5年,本科,国企,1000-9999人,石油/石化,,职位描述 1. 龙禹总部机关及下级分公司、加能站的网络运维及网络安全工作；2. 协助各业务部门进行BI分析开发、RPA工具开发；3. 维护数据仓库集市层（DWD/DWS），开发自动化数据清洗脚本；（Python/SQL），确保分析数据源的准确性与时效性；4. 构建预测模型：使用Python（Sklearn）开发LTV预测、风险评分卡等模型，支持业务前瞻性决策；5. 开发交互式数据看板（Tableau/Power BI），实时监控业务健康度，异常数据自动预警；6. 负责公司数据仓库及报表集市的搭建。包括源系统调研(业务流程梳理)、仓库模型设计、ETL开发及多维模型设计；7. 应用相关人工智能软件框架进行模型训练与调优；8. 推动 AI 技术在业务场景中的落地与迭代；9.研发机器学习、深度学习算法模型。年龄要求：35岁以下学历/专业：本科及以上/计算机网络相关专业、编程开发相关专业 专业技能：网络软硬件、BI数据分析、RPA机器人编程、研发机器学习、深度学习算法模型相关经验：网络运维、BI分析报表、RPA开发、 AI 框架及模型部署等相关经验 语言要求：大学英语4级以上 电脑技能：能熟练使用BI、RPA及相关编码等软件性格要求：性格开朗，具有良好的团队合作精神，善于学习 其他要求：无 优选条件：有3年以上工作经验
AI Agent 全栈开发,北京思云博智科技有限公司,1.5-2.3万,北京,1-3年,本科,20-99人,软件/IT服务,,,职位描述 【关于我们】我们是一支处于高速发展阶段的创业团队，正致力于探索和构建下一代 AI Agent 智能体产品。在这里，你将不是一颗螺丝钉，而是核心成员之一。我们提供优厚且具有竞争力的薪资待遇，你将与我们共同经历产品从0到1的完整旅程，将最前沿的AI技术转化为颠覆性的用户体验，并定义智能体与人类协作的未来。如果你对AI充满热忱，渴望在浪潮之巅创造未来，我们期待你的加入！【你将负责】1. 核心开发：深入参与AI Agent产品的核心架构设计与全栈开发，攻克关键技术挑战。2. 产品共建：全程参与产品从概念到落地的完整闭环，包括技术方案制定、原型开发和快速迭代，将你的想法注入产品基因。3. 体验优化：与产品和设计团队紧密协作，将你对UI/UX的深刻理解和国际化审美，转化为流畅、直观、一流的用户体验。4. 技术探索：保持对行业的高度敏感，追踪AI及Agent领域的最新动态，探索并推动前沿技术在产品中的创新应用。【我们希望你】必要条件：1. 教育背景：计算机科学、软件工程、人工智能等相关专业，本科或硕士生（985、211、USNews/QS Top 100院校背景优先）2. 技术栈：具备扎实的软件工程基础，能熟练运用 React/Next.js 与 Python 技术栈，并能够在指导下独立完成模块的全栈开发与联调。3. 个人特质：对技术充满热忱，具备广阔的视野、创新精神和独立思考能力；乐于在快速变化的环境中自我驱动，享受与创业团队一起探索未知，并拥有强烈的主人翁精神和责任感。4. 产品与设计感：拥有出色的产品感和用户导向思维，具备国际化的设计视野和审美，对UI/UX有体系化的理解，并善于吸收海内外优秀设计。加分项 (满足任一项都将是巨大优势)：1. Agent与LLM核心技术：对Agent或AI应用开发有实际经验，熟悉LangChain/LangGraph等主流框架，并对RAG、提示工程、向量数据库等LLM核心技术有深入理解或实践。2. 自动化与工作流编排：具备端到端自动化开发经验（如Playwright、Computer Use），熟悉n8n/Dify等工作流编排平台或有自研编排器经验者优先。3. 前端工程与可视化：在前端领域有深入探索，尤其在可视化编辑器（如ReactFlow/GrapesJS）、前端可观测性（Tracing/Logging）等方面有实践经验。4. AI原生开发实践：是Cursor等AI编程工具的重度用户，在利用AI提升研发效率、沉淀“AI结对编程”最佳实践方面有深入探索。岗位福利：1.我们提供优厚且具有竞争力的薪资待遇。2.依法缴纳五险一金，享受国家法定节假日。3.带薪年假、病假、婚假、产假等各项福利假期。4.节日慰问福利、员工聚餐团建、电话费补助等。5.岗前及在岗技能培训，工作稳定有保障。
