岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
人工智能工程师/接受无经验,福州高新区才拓科技有限公司,1-1.5万,广州·天河·冼村,经验不限,大专,民营,100-299人,产业互联网平台,,
ai训练师/数据标注,深圳市转凡成圣教育科技有限公司,7000-9000元,广州·天河·黄村,经验不限,本科,100-299人,软件/IT服务,,,
AI智驾数据采集/双休不加班/,四川锦熙兴业商贸有限公司,6000-8000元,广州·海珠·官洲,3-5年,高中,20人以下,软件/IT服务,,,
ai数据标注,南昌辰睿科技服务有限公司,8000-10000元·13薪,广州·越秀·北京街道,经验不限,大专,民营,100-299人,技术服务,,
AI架构师,东莞市中堂临式互联网工作室(个体工商户),5-8.5万,广州·天河·天河南,经验不限,,20-99人,人工智能,,,
AI自动化工程师（RPA & AIGC方向）,广州爱菲客科技有限公司,8000-15000元,广州·天河·兴华,1-3年,本科,民营,20人以下,互联网电商,,
AI视频剪辑（会可灵）,河南牛人设计网络科技有限公司,6000-9000元,广州·白云·永平,经验不限,,民营,100-299人,互联网电商,,
Manager - Data and Analytics (AI project) ID206036,汇丰环球,1.5-2.5万,广州·天河·林和,3-5年,本科,外商独资,10000人以上,银行,,"职位描述 Some careers have more impact than others.If you’re looking for a career where you can make a real impression, join HSBC and discover how valued you’ll be.HSBC is one of the largest banking and financial services organisations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realise their ambitions.We are currently seeking an experienced professional to join our team in the role of Manager - Data and Analytics.Principal responsibilities- Design, implement, and optimize machine learning models for classification, regression, clustering, NLP, computer vision, or recommendation systems (as applicable).- Work with large, complex datasets to extract insights and engineer meaningful features.- Develop end-to-end ML pipelines—from data ingestion and preprocessing to model training, evaluation, deployment, and monitoring.- Collaborate with cross-functional teams to integrate AI/ML capabilities into production systems.- Stay current with the latest research and technologies in AI/ML and assess their applicability to business challenges.- Ensure model performance, scalability, reliability, and compliance with ethical AI principles.- Document methodologies, results, and best practices for knowledge sharing and reproducibility. Requirements- Bachelor’s, Master’s, or Ph.D. in Computer Science, Electrical Engineering, Data Science, or a related technical field.- 3+ years of hands-on experience in developing and deploying machine learning models in production environments.- Proficiency in Python and common ML libraries (e.g., scikit-learn, TensorFlow, PyTorch, XGBoost).- Strong understanding of supervised and unsupervised learning algorithms, deep learning architectures, and evaluation metrics.- Experience with cloud platforms (AWS, GCP, or Azure) and MLOps tools (e.g., MLflow, Kubeflow, SageMaker).- Solid software engineering skills, including version control (Git), testing, and CI/CD practices. Candidate with less relevant experience or skills may be offered a lower Global Career Band than stated above.Due to the urgent hiring need, candidates with immediate right to work locally and no relocation need will be prioritised.You’ll achieve more when you join HSBC.HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website."
AI开发工程师,广船国际有限公司,1.6-2.4万,广州·天河·沙河,1-3年,本科,国企,10000人以上,船舶/航空/航天/军工,,"职位描述 岗位职责：1.智能体开发：基于船海制造行业业务需求，独立设计并开发AI智能体（Agent），实现任务规划、流程自动化及多系统协同；2.负责公司AI应用规划与技术落地，技术体系构建与人才培养；3.AI前沿技术探索与引进；任职要求： 1.本科及以上学历；计算机、自动化、电子、通信工程、船舶等相关专业，大模型应用开发1年以上经验，有丰富的智能体落地案例者优先； 2.精通Python/Java，熟悉FastGPT,Dify,LangChain等AI开发平台； 3.掌握RAG技术栈（文本分段、向量数据库、检索排序算法如BM25/DPR)； 4.具备API开发经验，熟悉Restful协议及FunctionCalling规范； 5.深入理解Prompt工程，能设计复杂场景的提示模板； 6.熟悉NLP基础技术（Transformer、BERT）及主流大模型（GPT、GLM、DeepSeek等）。 7.工作地点：广州南沙区/天河区"
AI实施工程师,广州华数云计算有限公司,8000-12000元,广州·荔湾·沙面,1-3年,本科,合资,20-99人,人工智能,天使轮,职位描述 岗位职责1、根据项目合同与前期需求文档，协助项目经理与客户沟通，明确具体实施细节，形成可执行的需求清单； 2、熟悉多元操作系统，对项目实施难点和应用难点有充分的预见和计划能力，顺利提出解决方案，满足项目验收需要和客户需求;3、负责软件系统及相关 AI 模型的配置、调试与上线部署，确保系统按设计要求运行； 4、响应客户在使用过程中提出的系统优化与变更需求，提供专业可行的解决方案并推动落地； 5、参与系统测试、效果评估与模型调优，持续提升 AI 服务的准确率与用户体验； 6、协助完成 AI 系统与各类前端渠道（网页、App、微信公众号等）及内部业务系统的接口联调与集成测试； 7、编写项目实施文档、配置手册、培训材料等交付物，支持客户顺利完成系统验收。8、上级领导交办的其他工作及任务。任职要求1、本科及以上学历，计算机、软件工程、人工智能、自动化等相关专业优先； 2、 2 年及以上 AI 类系统实施、交付或运维经验，有智能客服/对话机器人项目经验者优先； 3、熟悉至少一种主流低代码/AI 工作流平台（如 Dify、N8N、Rasa、Dialogflow 等）的配置与使用； 4、具备基本的需求理解与方案执行能力，能高效推进任务闭环； 5、具备良好的沟通协调能力，能与开发、测试、客户等多方协作； 6、逻辑清晰，具备较强的问题排查与解决能力，能适应快节奏的项目环境。加分项 1、掌握 Python、Node.js 等脚本语言，能进行简单的接口调试与自动化脚本编写； 2、了解大语言模型（如 GPT 系列）的基本原理及应用集成方式； 3、 熟悉 RESTful API 调用及云服务（如 AWS、Azure、阿里云、腾讯云）的基础操作； 4、 有智能对话系统、知识图谱或 NLP 相关项目实施经验。
AI视频剪辑（会可灵）,万动力(河南)网络科技有限公司,7000-11000元,广州·白云·永平,经验不限,,民营,100-299人,互联网电商,,职位描述 时间自由欢迎加入我们1. 公司自己订单，视频剪辑订单。2. 电商店铺稳定订单3. 能对客户认真负责4. 热爱视频剪辑设计任职要求：1. 熟练剪映/达芬奇/快影/pr等剪辑软件。2. 能独立完成整个视频的剪辑，思维灵活，创意独特，具有良好的视觉能力和表现功底，有优秀的布局感和色彩感；3. 学习能力强，自觉性高，能主动在工作中学习提升自己。
AI 应用开发工程师,日通技研(杭州)科技有限公司,1-1.6万,广州·天河·元岗,经验不限,,民营,20-99人,软件/IT服务,,职位描述 【岗位职责】行业垂直应用： 开发针对特定复杂行业的 AI 数据分析、智能对话等中台产品；大模型训练： 参与研发行业级专用大语言模型（LLM），提升模型在特定领域的专业性；分布式 AI 研发： 参与结合分布式计算与 AI 架构的前沿底层协议开发；技术创新： 持续关注 AI 前沿论文与技术，基于前沿成果实现产品创新；【入职要求】模型运用： 深度掌握主流大模型（如 OpenAI、DeepSeek 等）的原理与应用；提示词工程： 精通 Prompt Engineering，能够处理复杂任务分解及长链逻辑编排；架构经验： 熟练应用 RAG（检索增强生成）、向量数据库及主流 Agent 智能体框架；【加分项】底层原理： 了解机器学习、深度学习、Transformer、MoE 等模型底层架构；工程能力： 熟悉 Python 后端开发逻辑（如 FastAPI、MySQL），具备完整的 AI 服务接口开发经验；模型微调： 具备微调实战经验，了解 LoRA、QLoRA、SFT、RLHF 等优化技术；
AI直播 每天3小时 月收入1万至15万,安徽晓聚文化传媒有限公司,1-2万,广州·南沙·南沙,经验不限,,民营,100-299人,新媒体/MCN,,职位描述 工作职责1. 负责抖音平台日常直播，通过聊天互动、趣味小游戏等轻松内容与观众建立情感连接，提升直播间活跃度与留存率。2. 参与公司免费线上培训课程，系统学习直播技巧、平台规则及内容优化方法，持续迭代直播表现。3. 配合运营团队的实时指导，根据数据反馈调整直播内容与风格，逐步提升直播效果与粉丝粘性。4. 严格遵守平台规范，确保直播内容积极健康，维护正向的直播间氛围。任职要求1. 形象气质良好，具备基础镜头表现力（公司提供专业美颜技术支持）。2. 性格开朗外向，乐于与人交流，愿意在镜头前展现个人特质。3. 能够接受系统化免费培训，积极配合运营团队的指导与建议。4. 时间安排灵活，可自主规划直播时段，保证稳定的直播频率。补充说明1. 工作地点：不限地区，支持居家直播+线上培训2. 薪酬福利：礼物提成45%（每日可自提）；提供24小时在线运营支持及免费培训3. 休息时间：自由安排，无强制排班要求
AI应用开发工程师,自我游,1.2-2.4万,广州·天河·天园,1-3年,本科,民营,100-299人,产业互联网平台,C轮,职位描述 岗位职责：1、负责旅游大数据平台的架构设计、开发与优化，构建高效、稳定且可扩展的数据处理架构，确保海量旅游数据（包括但不限于旅游预订数据、用户行为数据、旅游景点数据、酒店数据等）的存储、管理和分析。2、运用机器学习、深度学习等 AI 技术，对旅游数据进行挖掘和分析，开发智能算法模型，如旅游需求预测模型、用户画像模型、旅游产品推荐模型等，为旅游企业的决策提供数据支持和智能化解决方案。3、与数据工程师、产品经理以及业务部门紧密合作，将 AI 模型集成到旅游 SaaS 产品中，实现智能化功能，如个性化旅游推荐、智能行程规划、智能客服等，并持续优化模型性能和用户体验。4、跟踪大数据和 AI 领域的最新技术发展趋势，探索新技术在旅游行业的应用场景，推动公司技术的不断创新和升级，提升公司在旅游互联网 SaaS 市场的竞争力。5、负责数据管道的开发和维护，确保数据的实时或批量传输、转换和加载，保障数据的准确性和及时性，为数据分析和 AI 模型训练提供高质量的数据基础。6、参与团队的技术交流和分享，提升团队整体技术水平，协助解决项目开发过程中的技术难题，确保项目按时交付并达到预期目标。岗位要求：1、教育背景 ：本科及以上学历，计算机科学、数学、统计学、人工智能等相关专业，具备扎实的数学和计算机基础理论知识。2、专业技能 ：精通大数据处理技术，熟练掌握 Hadoop、Spark、Flink 等大数据处理框架，具备实际的大数据平台搭建和开发经验，能够高效地处理和分析海量数据。熟练掌握至少一种编程语言（如 Python、Java），具备良好的编程能力和代码规范，能够运用编程语言实现数据处理、分析和 AI 模型开发。熟悉机器学习和深度学习的基本理论和算法，如线性回归、决策树、随机森林、神经网络等，熟练使用机器学习框架（如 PyTorch）进行模型训练和优化。对数据挖掘、自然语言处理、计算机视觉等 AI 技术在旅游行业的应用场景有一定的了解和实践经验，能够根据业务需求选择合适的 AI 技术解决方案。熟悉数据库技术（如 MySQL、PostgreSQL、MongoDB），具备数据库设计、查询优化和数据建模能力，能够高效地存储和管理数据。熟悉使用当前最新的技术工具，如ollama，kiln，unsloth进行模型训练微调。3、项目经验 ：具有 1 年以上大数据或 AI 项目开发经验，有旅游行业相关项目经验者优先考虑。能够独立承担项目模块的开发工作，具备良好的项目管理和问题解决能力，能够在规定的时间内完成高质量的项目交付。4、数据分析能力 ：具备较强的数据分析能力，能够从海量数据中提取有价值的信息，运用数据可视化工具（如 Tableau、PowerBI）将数据分析结果以直观的方式呈现，为业务决策提供有力支持。5、团队协作与沟通能力 ：具有良好的团队协作精神，能够与不同背景的团队成员（如数据工程师、产品经理、业务人员）有效沟通和协作，共同推进项目的顺利进行。具备良好的沟通能力和表达能力，能够清晰地向团队成员和业务部门解释技术方案和项目进展。6、学习能力与创新精神 ：对新技术有强烈的学习兴趣和快速的学习能力，能够及时跟踪和掌握大数据和 AI 领域的最新技术动态，并将其应用到实际工作中。具备创新思维，能够积极探索新技术在旅游行业的创新应用场景，为公司产品的发展提供创新性的解决方案。
Agent开发工程师(AI社交),优途人力资源(武汉)有限公司,2.5-5万·15薪,广州·天河·天河南,3-5年,本科,300-499人,人力资源,,,职位描述 画像：（必须）有AI Native产品0-1搭建经验（至少是独立模块），Side project亦可（必须）创业精神，乐于探索新技术，具备AI Native的编码习惯和沟通习惯（必须）熟练掌握主流模型SFT/RL方法（必须）沟通能力强，能把抽象的技术原理与产品和研发沟通清楚核心工作：1、C端AI产品搭建：探索AI社交/游戏Agent的NEW佳技术实践。主导下一代AI陪伴（类比斯坦福小镇/Aivilization）或下一代AI-真人社交（类比微信/********）的产品开发。起到工程团队的技术带头人角色，主导AI Agent全生命周期开发，带领前后端工程师把业界NEW先进工程实践落实2、开源项目开发：参与公司战略级Agent Memory等Agent Infra云服务的0-1产品化开发、上线和迭代（目前性能在LongMemEval、LoCoMo、EverMemBench、CloneMem等Benchmark上动态保持No. 1-2）任职资格：1、教育背景：计算机科学、人工智能等相关专业本科及以上学历2、技术能力：对主流Agent框架、Context Engineering有深刻见解和实战经验；精通Go，Python，有活跃开源项目优先3、项目经验：2-5年工作经验，具有AI Agent产品0-1搭建经验
