岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
AI短视频剪辑/漫剧制作（日350+可零基础免费教学）,山西氪观科技有限公司,350-550元/天,深圳·福田·福田街道,经验不限,,20人以下,软件/IT服务,,,
ai数据标注,重庆路卓网络科技有限公司,8000-9000元,深圳·龙华·龙华,1-3年,本科,民营,100-299人,产业互联网平台,,
人工智能工程师/接受无经验,福州高新区才拓科技有限公司,1-1.5万,深圳·福田·华强北,经验不限,大专,民营,100-299人,产业互联网平台,,
居家数据标注,鼎联科技,3000元,深圳·南山·南头,经验不限,,民营,100-299人,产业互联网平台,,
AI内容助理,上海芜佩网络科技有限公司,5000-6000元,深圳·福田·福田街道,经验不限,大专,20-99人,互联网电商,,,职位描述 一、岗位职责1. 协助完成AI相关内容创作、编辑与优化，贴合需求及AI产品调性2. 整理AI内容素材，标注训练数据，配合优化AI内容输出质量3.核对AI生成内容，修正偏差，确保内容准确、合规4. 配合团队完成内容交付，处理相关临时工作二、任职要求1. 学历大专及以上，有AI相关内容经验、数据标注经验者优先2. 熟练使用电脑，具备基础文字功底和内容判断能力3. 细心严谨，责任心强，执行力强，能遵守相关规范
智驾AI教练／双休不加班,四川锦熙兴业商贸有限公司,6000-8000元,深圳·南山·南山,3-5年,高中,20人以下,软件/IT服务,,,职位描述 【岗位说明】负责自动驾驶车辆测试及安全点检、系统运维等工作，保证车辆正常测试；收集数据，路线。处理自动驾驶车辆在测试运营过程中的异常问题任职要求：1.驾龄3年及以上。2.近 1 年内无6分违章，近三年累计违章不超过12分。3.需要有全职司机或者智驾测试经验（不是开自家车）4.中专/高中及以上学历5.年龄在40以下岗位说明：每天5-7小时不加班薪资构成：无责底薪+季度绩效*4+年终奖 17薪 年薪8W左右驾龄3年及以上，三年累计扣分不超12分。
ai算法工程师助理,深圳市易通伟智科技有限公司,8000-14000元,深圳·宝安·新桥,经验不限,本科,100-299人,人工智能,,,职位描述 工作职责1. 协助算法工程师完成数据预处理、特征工程等基础工作，保障模型训练数据的质量。2. 参与算法模型的实验验证，记录实验过程与结果，输出标准化实验报告。3. 负责AI项目的文档整理与版本管理，维护算法研发流程的规范性。4. 跟踪行业前沿算法动态，整理技术资料并同步至团队知识库。任职要求1. 本科及以上学历，计算机、数学、统计学等相关专业。2. 掌握Python编程语言，熟悉NumPy、Pandas等数据处理库。3. 了解机器学习基础算法（如线性回归、决策树、聚类），具备算法模型实践经验者优先。4. 具备良好的逻辑思维能力与问题分析能力，能快速理解算法需求并执行落地。5. 有较强的学习能力与团队协作精神，能承受一定的工作压力。
AI训练师助理,深圳市转凡成圣教育科技有限公司,6000-7000元,深圳·南山·粤海,1-3年,大专,100-299人,软件/IT服务,,,职位描述 工作职责1. 协助AI训练师完成数据清洗、标注、分类等基础工作，确保数据质量符合模型训练要求。2. 参与标注规则的学习与执行，根据项目需求调整标注策略，提升标注效率与准确性。3. 对标注数据进行初步校验，及时反馈数据异常问题，协助优化数据处理流程。4. 整理并维护数据标注文档，记录标注过程中的问题与解决方案，形成可复用的经验沉淀。任职要求1. 大专及以上学历，计算机、数据科学、统计学等相关专业优先。2. 了解AI基础概念（如机器学习、数据标注等），对AI技术有浓厚兴趣。3. 具备较强的责任心与细致度，能严格遵守标注规范，确保数据质量。4. 学习能力强，能快速掌握新的标注工具与规则，适应不同项目的需求。5. 具备良好的沟通能力与团队协作精神，能及时反馈工作中遇到的问题。
Ai漫剧生成（接受小白）,深圳市星耀智媒科技有限公司,6000-7000元,深圳·龙华·大浪,经验不限,,20人以下,广播/电视/影视,,,"职位描述 岗位职责：1、负责AI真人短剧的内容制作；2、根据短剧剧本，进行角色设计、分镜设计及视觉风格设计；3、使用AI工具生成角色、场景设定图、镜视频片段、并优化生成效果；4、负责视频剪辑、配音、配乐等后期工作，保证视频画质和内容表达；5、结合AI工具优化创作流程，提升内容产出效率。岗位要求：1、熟悉AI短剧的全流程制作；2、熟练掌握多种AI多媒体生成工具，如ChatGPT、Midjourney, Flux, EDs, LIBLIB Al. Kling Al, Vidu, Runway、ElevenLabs等工具；3、熟练使用图片处理、影视剪辑软件；4、有影视制作、导演、数字媒体、动画设计、AI视频制作等相关专业或经验者优先；5、熟悉短剧特性，对剧情节奏敏感，具有良好的审美和创意思维，能够独立构思后期制作方案；6、具备跨团队协作能力，能与编剧、运营高效配合；7、热爱AI制作，学习能力强，愿意深研AI短剧制作。"
Ai数据标注/五险一金,东莞市光禾网络科技有限公司,6000-9000元,深圳·龙岗·坂田,经验不限,,100-299人,软件/IT服务,,,职位描述 岗位内容：1. 负责公司海量数据的采集和整理，为数据分析和业务发展提供支持。2. 开发自动化脚本和工具，提高数据采集效率，降低人工成本。3. 不断优化数据结构和算法，提高数据处理速度和稳定性。任职要求：1. 有扎实的编程基础和数据处理经验，熟练使用SQL等数据库查询语言。2. 熟悉常用的数据存储格式和数据交换协议，如JSON、XML、CSV等。3. 具备较强的逻辑思维能力和创新意识，能够快速学习新的技术和工具，不断自我进步。
